id_number	mz	rtime	rtime_left_base	rtime_right_base	parent_masstrack_id	peak_area	cSelectivity	goodness_fitting	snr	detection_counts	214
F9840	332.1536	695.18	692.98	698.96	5963	1111270	1.0	0.95	113	1	1138263
F9841	392.303	824.51	820.76	828.27	7076	6064838	1.0	0.89	317	1	6244006
F9842	361.1749	440.34	436.76	441.28	6545	1619360	0.8	0.85	13	1	1634360
F9844	361.1749	461.76	458.12	464.75	6545	2529782	0.79	0.82	6	1	2550782
F9846	361.1749	513.57	509.97	517.48	6545	16399819	1.0	0.89	43	1	16423819
F9847	361.1749	557.74	554.19	561.28	6545	2099478	0.78	0.88	5	1	2122478
F9849	361.1852	576.34	572.55	580.13	6546	6730921	1.0	0.97	487	1	6766081
F9851	332.1908	570.32	566.79	573.83	5965	37449779	1.0	0.98	866	1	37472779
F9852	420.2852	684.82	681.04	687.95	7501	3247191	0.79	0.93	59	1	3331343
F9853	361.1999	448.63	445.05	452.28	6548	51171758	1.0	0.99	2159	1	51194758
F9854	332.2059	248.56	244.87	251.51	5967	1313025	1.0	1.0	131	1	1328778
F9856	332.2141	636.77	634.24	640.24	5968	17622451	1.0	0.96	2360	1	17642451
F9857	332.2141	640.87	640.24	642.13	5968	701120	1.0	0.79	189	1	708120
F9864	420.3311	693.93	690.46	697.07	7505	3538315	1.0	0.98	306	1	3571730
F9875	392.805	826.7	823.89	828.59	7079	1717556	1.0	0.8	181	1	1773113
F9876	392.9819	33.05	31.09	35.89	7080	2723328	1.0	1.0	433	1	2743452
F9877	392.9819	40.66	36.84	43.22	7080	947976	1.0	0.9	109	1	989555
F9878	332.2293	448.96	446.34	452.28	5970	1109746	1.0	1.0	44	1	1128442
F9879	332.2293	456.17	452.28	460.1	5970	3796490	1.0	0.99	136	1	3820359
F9880	332.2293	467.09	463.42	470.38	5970	1775327	1.0	1.0	65	1	1795527
F9881	332.2293	483.38	481.15	486.69	5970	1122266	1.0	0.99	42	1	1148363
