id_number	mz	rtime	rtime_left_base	rtime_right_base	parent_masstrack_id	peak_area	cSelectivity	goodness_fitting	snr	detection_counts	214
F1	70.0126	33.05	31.6	34.94	2	1867310	1.0	0.98	40	1	1888151
F2	70.36	558.38	554.51	562.26	3	5768975	1.0	0.98	374	1	5795197
F3	70.3611	558.71	554.83	562.26	4	16668567	1.0	0.97	1139	1	16692567
F4	70.4715	558.71	554.83	561.61	5	1380700	1.0	0.98	105	1	1409065
F5	70.4726	558.71	554.83	562.58	6	4553840	1.0	0.99	332	1	4610288
F8	71.0487	480.53	477.69	483.06	13	2186738	1.0	0.97	264	1	2221870
F11	71.0849	717.22	714.71	720.98	21	1720708	0.94	0.83	98	1	1712936
F12	71.4756	508.34	504.45	512.26	24	2417324	1.0	0.99	159	1	2448624
F13	71.9877	825.45	821.7	826.7	28	3508590	0.97	0.97	13	1	3460655
F14	71.9877	828.27	826.7	832.07	28	4271972	1.0	0.87	16	1	4316095
F15	72.0808	33.05	31.6	35.57	29	3105198	1.0	0.88	62	1	3137218
F16	72.0808	37.15	35.57	40.66	29	1871240	0.74	0.87	18	1	1903069
F18	73.0107	53.99	50.19	57.79	35	2372036	1.0	0.96	173	1	2410546
F31	73.2734	44.48	41.63	48.28	40	2665086	0.89	0.81	181	1	2695101
F32	130.9919	828.9	825.45	832.71	898	2558716	1.0	0.84	19	1	2566309
F35	162.0645	53.04	50.83	56.83	1601	52738979	1.0	0.85	4518	1	52758979
F36	162.0674	52.73	51.46	56.51	1602	19297799	1.0	0.78	1689	1	19314799
F37	162.0693	53.67	50.19	57.47	1603	9236594	1.0	0.87	706	1	9248380
F38	162.0714	54.93	51.15	58.75	1604	5776811	1.0	0.86	459	1	5821727
F39	162.0734	53.67	50.83	57.47	1605	4453873	1.0	0.91	392	1	4572780
F41	162.076	38.1	34.31	41.95	1606	5409738	1.0	0.82	336	1	5490932
F42	162.076	55.25	53.67	58.75	1606	1669888	0.89	0.91	218	1	1768377
F43	162.0773	53.67	51.15	57.47	1607	1583834	1.0	0.86	198	1	1630648
F44	162.0793	55.25	52.73	56.83	1608	1457925	1.0	0.79	220	1	1572654
F45	162.0876	52.73	50.83	53.99	1612	926360	1.0	0.97	170	1	941788
F46	162.0903	54.3	53.04	56.83	1613	1080403	1.0	0.96	191	1	1087161
F47	162.095	53.36	52.1	54.3	1615	503238	1.0	0.94	101	1	505874
F48	162.0994	500.18	496.57	504.12	1616	1734115	0.75	0.97	8	1	1771806
F50	162.0994	520.74	518.45	524.65	1616	2754281	0.9	0.98	14	1	2770762
F51	162.0994	570.64	566.79	574.46	1616	9530096	1.0	0.97	31	1	9588927
F54	186.0912	393.35	389.99	397.04	2279	2201964	1.0	1.0	247	1	2226681
F62	186.118	344.38	340.75	348.26	2282	1804670	1.0	0.99	162	1	1837482
F67	186.1316	207.96	204.4	212.0	2284	12066859	1.0	0.95	838	1	12090859
F68	186.1331	289.89	286.04	293.77	2285	2282786	1.0	0.99	188	1	2318197
F69	186.1567	493.28	489.34	497.23	2287	1236356	1.0	0.99	31	1	1268994
F71	186.1852	564.52	560.64	568.41	2288	11050731	1.0	0.97	47	1	11075731
F72	163.0143	828.27	825.45	832.07	1634	2091042	1.0	0.85	59	1	2133914
F100	163.0164	825.77	822.95	827.33	1635	1874545	0.96	0.93	29	1	1697574
F101	163.0164	829.53	827.33	832.07	1635	2120928	1.0	0.93	33	1	2129453
F104	131.0015	827.96	824.2	831.75	904	1717835810	0.83	0.99	7	1	4969170240
F109	186.9939	99.53	98.27	100.48	2290	1019725	0.71	0.72	282	1	1027725
F110	186.9939	830.48	826.7	834.31	2290	34512682	0.83	0.91	583	1	34537682
F116	187.0034	837.88	826.08	893.11	2293	58703401	1.0	0.95	34	1	59780045
F120	187.0078	968.77	837.23	973.49	2294	67081176	0.74	0.71	213	1	67491413
F122	75.0598	753.39	723.18	795.28	109	15457319	1.0	0.86	138	1	15682695
F123	76.0216	48.91	45.11	50.51	119	5869899	0.8	0.84	11	1	5876962
F124	76.0216	53.36	50.51	57.15	119	6963230	0.79	0.98	13	1	6967747
F145	187.0451	45.43	41.63	49.23	2298	2200836	1.0	0.94	150	1	2235715
F147	187.0574	33.05	31.09	34.62	2300	1394276	1.0	0.98	155	1	1405281
F148	187.0626	347.28	344.06	351.26	2303	6149217	1.0	0.99	588	1	6176977
F156	78.1731	655.36	588.15	660.99	130	15762551	1.0	0.91	158	1	15978355
F157	78.1731	669.78	660.99	675.72	130	20774667	1.0	0.8	160	1	5074427
F159	78.1731	800.0	720.04	828.27	130	59171312	1.0	0.78	365	1	59547350
F160	187.0786	326.33	322.65	329.34	2306	1664267	1.0	1.0	173	1	1686778
F161	187.0952	191.94	187.88	194.68	2307	1498373	1.0	0.77	4	1	1522358
F164	187.1008	98.9	95.07	100.48	2308	5166101	1.0	0.97	58	1	5215629
F165	187.1008	103.0	100.48	106.82	2308	6069800	1.0	0.99	62	1	6074444
F166	78.2846	802.21	768.83	826.39	132	13778314	1.0	0.84	12	1	13979708
F167	187.1075	33.99	31.6	37.47	2309	1542384	1.0	0.96	200	1	1548179
F170	131.0066	827.64	824.83	831.43	907	29548811	0.83	0.71	13	1	29570811
F171	187.1095	229.05	227.4	232.04	2310	834119	1.0	0.99	121	1	850741
F172	187.1095	290.53	286.71	294.1	2310	3139616	1.0	0.97	241	1	3173993
F177	131.0081	830.8	830.16	834.63	908	4539276	0.79	0.82	54	1	4753014
F185	187.1117	591.99	588.79	595.84	2311	8023193	0.77	0.88	4	1	8070130
F186	187.114	79.22	75.18	83.24	2312	3229098	1.0	0.98	21	1	3273617
F187	163.0276	827.96	824.2	831.75	1640	1746029758	0.86	0.98	8	1	4132086960
F188	187.1152	98.27	94.75	107.82	2313	6206082	1.0	0.89	238	1	6254359
F190	131.0096	599.03	595.84	601.58	909	3991591	0.93	0.95	3	1	3981939
F197	131.0096	827.96	827.02	830.48	909	2973694	0.91	0.87	5	1	3018581
F200	187.1328	378.42	374.41	382.39	2315	8565107	1.0	0.98	5	1	8901858
F223	79.0543	64.41	60.65	68.21	140	9527517	0.9	0.92	7	1	9591522
F226	187.148	525.63	521.71	529.52	2316	5119600	0.98	0.96	5	1	5179161
F230	187.148	606.95	603.48	610.12	2316	3223397	0.97	0.99	5	1	3212744
F233	187.148	709.35	705.57	713.14	2316	2497636	0.76	0.97	15	1	2530379
F234	187.1885	564.85	562.26	568.73	2317	1037051	1.0	0.98	108	1	1070036
F240	131.0167	33.05	31.6	34.31	914	1492941	1.0	0.99	300	1	1501945
F245	79.0753	442.22	438.42	446.02	141	12006496	0.72	0.95	5	1	12120160
F254	79.574	575.71	572.23	579.5	143	3372407	1.0	0.93	222	1	3408520
F255	188.0342	97.01	94.42	99.22	2326	883408	0.75	0.96	135	1	925094
F258	131.0338	61.59	59.07	63.16	924	870126	1.0	0.95	7	1	914953
F261	188.0541	98.27	94.75	101.11	2330	3804143	1.0	0.91	146	1	3909490
F262	188.0541	102.68	101.11	106.49	2330	4066497	1.0	0.88	226	1	4025716
F263	188.0566	99.53	95.74	103.31	2331	9015113	1.0	0.77	582	1	9225208
F267	188.0616	99.53	95.74	99.85	2333	28867496	0.96	0.84	2889	1	28881496
F269	131.0491	64.1	60.33	67.89	926	124623847	0.95	0.91	1107	1	124648847
F270	131.0491	319.98	316.35	323.99	926	9290624	0.85	0.99	172	1	9314624
F272	188.0635	99.22	96.06	101.11	2334	30038299	0.96	0.72	2660	1	30055299
F279	188.0705	101.74	97.96	105.53	2336	2033307274	0.83	0.93	1845	1	9889660992
F281	131.0531	33.99	31.6	34.94	927	1245541	1.0	0.97	19	1	1204756
F282	131.0531	37.78	34.94	39.38	927	2498546	1.0	0.92	22	1	2465548
F283	131.0531	40.99	39.38	44.8	927	1952018	1.0	0.99	19	1	1972794
F284	131.0531	229.38	225.46	233.38	927	3945356	1.0	1.0	33	1	3969458
F285	80.9479	34.62	31.6	36.2	147	1661048	1.0	0.97	56	1	1680127
F286	80.9479	37.47	36.2	41.31	147	1528010	0.82	0.95	33	1	1543620
F287	80.9479	224.82	221.18	228.72	147	1160286	0.71	0.93	4	1	1187795
F289	131.0683	98.27	94.42	100.48	928	10196986	0.89	0.91	507	1	10216986
F290	131.0683	103.31	103.0	107.15	928	7285137	0.89	0.97	719	1	7299137
F291	131.0683	265.35	261.29	269.07	928	5317532	0.91	0.93	69	1	5341532
F292	131.0683	294.1	290.21	297.72	928	40049370	1.0	0.99	738	1	40073370
F293	131.0683	347.61	344.06	351.6	928	26277551	1.0	0.99	1322	1	26301551
F294	131.0683	381.72	380.4	384.05	928	992522	0.85	0.88	147	1	1004522
F295	188.0787	101.74	98.27	105.53	2339	61655069	0.85	0.72	3528	1	61679069
F296	188.0818	103.94	93.41	109.52	2340	29130020	1.0	0.84	1224	1	29181020
F298	188.0843	98.9	95.07	99.53	2341	4680597	0.97	0.99	463	1	5070267
F299	188.0843	101.42	99.53	105.21	2341	8610439	0.96	0.91	570	1	8615647
F302	188.0893	96.7	94.75	98.27	2343	839062	0.79	0.86	110	1	764313
F303	188.0893	102.68	100.79	106.49	2343	2773477	0.79	0.88	257	1	2901361
F305	163.0373	466.43	463.09	470.05	1643	6569510	0.85	0.91	4	1	6591507
F311	131.0729	99.22	95.4	100.79	930	3888951	1.0	0.88	270	1	3925284
F312	131.0729	102.37	100.79	106.17	930	4027872	1.0	0.97	292	1	4092202
F313	131.0729	442.22	438.42	446.02	930	8695617	1.0	0.97	666	1	8740720
F320	188.0972	97.01	94.42	98.59	2345	700254	0.74	0.88	101	1	772373
F321	188.0972	102.37	100.79	104.26	2345	1049320	0.75	0.71	119	1	1149421
F323	131.0854	397.04	393.02	401.1	931	7030480	0.78	0.97	7	1	7320271
F325	131.0854	503.8	499.86	507.7	931	34875362	1.0	0.96	33	1	35165153
F327	82.0651	53.67	50.19	57.47	155	1648385	1.0	0.9	51	1	1666343
F328	131.0916	737.97	734.2	741.74	934	5299739	1.0	0.97	265	1	5365770
F329	188.1072	98.9	97.33	100.48	2349	845998	1.0	0.99	144	1	849069
F334	131.1066	353.94	349.92	357.93	935	5040989	0.96	0.9	65	1	5102966
F335	131.1624	160.31	157.56	164.44	936	1351874	1.0	0.93	113	1	1372976
F340	163.0386	599.03	595.2	601.26	1644	114639329	1.0	0.99	49	1	114721001
F341	163.0386	603.8	601.26	607.26	1644	253980825	1.0	0.95	95	1	254062497
F343	188.991	830.48	826.7	832.07	2354	17528124	0.8	0.86	116	1	13125140
F344	188.991	832.71	833.99	836.59	2354	9127883	0.83	0.84	98	1	4618193
F345	163.0428	829.22	828.27	831.75	1646	696038	1.0	0.94	65	1	692363
F357	189.038	141.04	136.94	145.14	2359	1692881	0.9	0.93	101	1	1721287
F359	163.0555	53.99	51.15	57.79	1651	14064740	1.0	0.83	1324	1	14086740
F360	189.0652	98.9	95.07	100.48	2365	2487084	1.0	0.99	201	1	2557079
F361	189.0652	102.37	100.48	105.85	2365	2314841	1.0	0.86	222	1	2355547
F362	163.0582	53.67	50.19	57.47	1653	38452662	1.0	0.89	1186	1	38476662
F368	163.0608	53.67	49.87	57.47	1654	599219739	1.0	0.93	948	1	599244739
F372	163.0684	53.67	52.1	56.2	1658	2556297	1.0	0.97	281	1	2570301
F373	132.0048	828.27	824.83	832.07	942	149266524	0.82	0.91	10	1	150222086
F374	132.0072	826.39	823.57	827.96	943	1047493	0.81	0.94	54	1	1034416
F375	132.0072	829.53	828.27	832.07	943	996921	0.81	0.81	54	1	983941
F377	163.0751	381.72	377.77	385.67	1660	25505662	1.0	0.99	8	1	27502751
F380	163.0751	480.21	476.7	484.03	1660	18935554	1.0	0.98	8	1	20859808
F381	163.0751	512.26	508.67	516.18	1660	10633011	0.9	0.8	4	1	12473379
F383	163.0751	596.48	592.63	600.3	1660	11281853	0.97	0.96	5	1	13191857
F384	132.0398	182.17	178.1	186.2	944	2752755	1.0	0.94	181	1	2783699
F385	163.0868	59.07	55.25	60.65	1661	4832725	1.0	0.98	403	1	4801319
F386	163.0868	61.9	60.65	65.67	1661	5438041	1.0	0.99	441	1	5524259
F387	189.0734	102.05	98.27	105.85	2370	1174929238	0.82	0.86	2726	1	1174954238
F391	132.0444	181.16	177.08	184.86	945	361215754	0.83	0.97	45	1	361285332
F392	132.0485	181.49	178.1	184.53	947	1354247	0.81	0.96	109	1	1391418
F393	189.0783	347.61	344.06	351.6	2373	7374387	1.0	1.0	736	1	7407379
F394	132.0496	181.83	178.1	185.87	948	2622073	1.0	0.83	182	1	2660682
F396	189.0826	101.11	97.33	104.89	2375	8544477	0.89	0.87	398	1	8614337
F397	132.0525	62.22	58.43	65.99	949	10393798	0.95	0.92	574	1	10490398
F398	189.0853	98.27	94.42	100.79	2376	1812059	1.0	0.76	143	1	1858657
F399	189.0853	103.94	101.11	107.82	2376	1701493	1.0	0.8	120	1	1673936
F400	83.0855	35.89	33.37	37.47	160	2568658	0.89	0.89	4	1	3108664
F401	83.0855	39.7	37.47	43.54	160	4152471	0.76	0.83	3	1	4892723
F402	83.0855	523.01	519.75	526.6	160	3307136	0.88	0.91	3	1	4100978
F404	83.0855	719.1	715.65	722.87	160	3595774	0.72	0.96	5	1	4408788
F410	163.1116	443.15	439.71	446.99	1662	12824265	1.0	0.93	21	1	13111424
F417	132.0655	44.48	41.95	47.96	957	88686599	1.0	0.8	48	1	88706599
F419	84.0444	37.78	34.31	40.02	161	7968704	0.74	0.77	15	1	8095455
F421	84.0444	229.05	225.14	233.04	161	5702949	0.72	0.99	8	1	5886106
F423	189.0911	407.11	403.12	409.74	2378	2565788	1.0	0.98	6	1	2589487
F426	189.1227	33.05	31.09	35.89	2379	1132188	1.0	0.92	120	1	1147192
F427	189.1227	43.22	39.38	47.01	2379	2817106	1.0	0.86	48	1	2821699
F432	189.1272	495.57	491.97	499.53	2380	2891764	0.79	0.81	4	1	2915764
F433	189.1272	506.4	502.48	509.97	2380	7768549	1.0	0.97	17	1	7792549
F435	189.1272	573.51	570.0	576.97	2380	14085082	1.0	0.93	28	1	14108082
F441	163.1327	344.06	340.08	347.93	1665	8420685	1.0	0.97	15	1	8943401
F442	163.1327	557.74	553.87	561.61	1665	4164551	0.92	0.97	3	1	4671623
F443	163.1327	579.5	575.71	583.01	1665	5335992	0.89	0.96	3	1	5896462
F446	132.0864	36.84	35.57	39.06	967	752893	0.86	0.94	112	1	728744
F459	132.0889	503.8	499.86	507.37	969	2869023	1.0	0.98	66	1	2921094
F461	132.0906	37.15	35.57	40.34	970	1042737	1.0	0.98	159	1	1120890
F463	189.1636	529.52	525.63	533.44	2382	7054174	1.0	0.95	7	1	7078365
F464	189.1636	539.64	535.72	543.55	2382	4327037	0.84	0.94	3	1	4335994
F468	189.1636	615.22	612.03	617.44	2382	3312720	0.76	0.95	3	1	3365571
F469	189.1636	621.57	617.76	625.07	2382	5120989	0.84	0.77	4	1	5128318
F470	189.1636	639.29	637.09	643.07	2382	4175047	0.86	0.96	4	1	4132758
F471	189.1636	708.72	704.94	712.19	2382	4655519	0.82	0.98	5	1	4700333
F472	189.1636	731.06	727.28	734.52	2382	3820562	0.72	0.76	3	1	3854892
F473	132.0966	33.68	32.43	35.26	972	28571554	1.0	0.83	4496	1	28581554
F474	132.0966	36.84	35.26	40.66	972	22931577	1.0	0.97	2429	1	22949577
F475	132.0977	33.37	32.74	35.57	973	22034516	0.83	0.77	3915	1	22044516
F478	132.11	33.05	31.6	35.26	978	5078603	1.0	0.9	704	1	5236606
F479	132.11	37.15	35.26	40.66	978	3965139	1.0	0.97	461	1	3957004
F480	132.1116	33.05	31.6	35.57	979	3211156	1.0	0.91	441	1	3264223
F481	132.1116	37.15	35.57	40.02	979	1670285	1.0	0.98	210	1	1757514
F490	163.148	726.96	725.39	728.22	1666	4342740	0.71	0.88	4	1	4517160
F493	132.1144	33.37	32.43	35.57	980	1022893	1.0	0.85	172	1	1142729
F494	132.1144	37.15	35.57	39.06	980	814645	1.0	0.96	138	1	871928
F496	132.1174	32.74	31.6	34.94	982	1525062	1.0	0.8	204	1	1535776
F497	132.1174	36.52	34.94	40.02	982	1591497	1.0	0.97	163	1	1642964
F498	132.1203	33.37	32.74	37.15	983	1139220	1.0	0.73	160	1	1253620
F499	132.1233	33.05	32.74	34.62	984	659732	1.0	0.71	123	1	616771
F500	132.1245	33.37	32.11	34.94	985	621725	1.0	0.93	126	1	631729
F501	132.1245	37.15	35.57	39.06	985	681790	1.0	0.97	105	1	693794
F521	190.0383	827.02	823.26	830.8	2390	6527830	0.96	0.98	7	1	6509461
F522	190.0744	105.21	104.26	106.49	2393	700624	1.0	0.87	141	1	708627
F523	190.0772	101.74	97.96	105.53	2394	41219961	0.88	0.75	2274	1	41244961
F525	85.0285	34.31	32.11	36.84	183	11021987	0.89	0.89	5	1	11071678
F530	190.0861	347.28	343.41	351.26	2396	321256674	1.0	1.0	1995	1	321281674
F531	190.0861	382.39	378.75	385.67	2396	6197691	0.91	0.98	19	1	6219691
F533	190.0897	44.48	42.27	47.01	2397	4725293	0.97	0.89	26	1	4741293
F537	190.0897	240.44	236.7	244.53	2397	10210745	1.0	0.99	1202	1	10234745
F538	85.0649	38.74	34.94	42.59	186	21067417	0.76	0.95	3	1	22618183
F542	190.0947	347.61	345.02	350.93	2399	1980636	1.0	0.99	204	1	1999645
F543	164.0309	828.27	824.83	832.07	1671	169307027	0.81	0.92	10	1	169331027
F545	86.0601	51.46	49.23	54.93	190	6289447	1.0	0.94	18	1	6447106
F548	86.0859	34.31	33.05	37.78	192	654961	1.0	0.83	102	1	680172
F552	190.1306	573.51	570.95	577.28	2403	1409295	0.88	0.99	184	1	1446547
F554	164.0421	599.67	595.84	600.94	1673	9260710	1.0	0.98	97	1	9277710
F555	164.0421	603.48	600.94	607.26	1673	21680104	1.0	0.93	189	1	21701104
F556	86.0929	32.74	32.11	33.99	201	1632841	1.0	0.84	285	1	1426265
F557	86.0929	37.15	34.31	40.66	201	4023785	1.0	0.87	354	1	4258370
F558	190.9837	844.32	836.59	866.5	2406	4930739	1.0	0.9	118	1	5021681
F561	132.9974	825.14	821.38	825.77	989	12888871	0.88	0.76	9	1	12935802
F562	132.9974	828.59	827.33	832.39	989	17975621	0.83	0.73	11	1	18028809
F563	164.0538	53.67	49.87	57.47	1676	428876538	1.0	0.93	968	1	428901538
F564	164.0647	54.62	50.83	58.11	1680	4046001	1.0	0.92	333	1	4090592
F568	86.1007	33.05	31.6	35.57	209	2478376	1.0	0.84	317	1	2479543
F569	86.1007	37.15	35.57	40.02	209	1812417	1.0	0.98	240	1	1754147
F570	86.1015	33.37	31.6	35.57	210	1134107	1.0	0.98	184	1	1134131
F573	164.0704	101.74	97.96	105.53	1682	2722461	0.93	0.76	16	1	2742438
F574	164.0704	294.1	290.21	298.04	1682	4650436	1.0	0.99	12	1	4682254
F575	164.0704	368.02	363.99	371.72	1682	1853776	1.0	0.95	9	1	1879564
F576	86.103	33.05	31.6	34.62	212	669354	1.0	0.93	124	1	718497
F577	164.074	33.05	31.6	36.2	1683	3005528	1.0	0.99	335	1	3045727
F578	86.1063	33.05	31.6	36.84	215	765705	1.0	0.87	123	1	776245
F579	190.9901	831.11	827.33	834.95	2409	12180770	0.96	0.92	616	1	12313814
F580	164.0787	381.72	377.77	385.67	1684	2388681	0.86	0.99	11	1	2437720
F581	164.0787	480.84	477.03	484.36	1684	1874415	0.83	0.95	7	1	1896246
F587	133.0057	824.51	820.76	825.77	990	12375793	0.91	0.87	8	1	12427460
F588	133.0057	828.27	825.77	831.75	990	19731649	1.0	0.82	10	1	19792434
F589	133.0317	33.05	31.09	36.84	991	3374508	1.0	0.97	564	1	3392514
F602	191.0172	32.74	32.11	36.52	2416	59138883	1.0	0.96	14923	1	59153883
F603	87.0441	36.52	32.74	40.34	231	114150771	1.0	0.71	13	1	116593620
F610	191.0225	828.27	824.51	832.07	2418	1172064700	0.85	0.97	7	1	1390458516
F613	165.0473	33.37	31.6	36.84	1701	1581149	1.0	0.76	184	1	1618672
F614	191.0701	360.29	357.93	363.99	2430	994065	0.77	0.89	5	1	1013065
F615	191.0701	378.09	374.07	381.72	2430	25109641	1.0	0.99	221	1	25133641
F616	191.0701	426.76	423.09	430.76	2430	2489987	1.0	0.92	13	1	2513987
F618	191.0853	569.05	565.17	572.87	2432	7458911	1.0	0.98	700	1	7492904
F619	191.0893	347.28	343.74	351.26	2433	36940280	1.0	0.99	1400	1	36964280
F621	87.0934	33.37	31.6	34.94	239	5409354	1.0	0.94	772	1	5409231
F622	87.0934	36.2	34.94	40.02	239	4658617	1.0	0.99	426	1	4691642
F623	87.0998	33.37	32.43	34.94	240	122255234	1.0	0.91	8204	1	122264234
F624	87.0998	35.89	34.94	39.7	240	98054261	1.0	0.97	3613	1	98070261
F625	191.1023	34.62	31.09	38.1	2435	9229100	0.97	0.82	10	1	9292309
F626	191.1023	44.17	40.66	47.96	2435	12066786	0.8	0.81	10	1	12078965
F627	87.1025	33.37	31.6	35.26	241	3041350	1.0	0.9	417	1	3015050
F631	191.1173	290.53	286.71	294.43	2437	8853927	1.0	0.99	113	1	8920148
F644	191.1429	605.05	601.26	607.9	2438	18179205	1.0	0.91	18	1	18226079
F650	133.0478	181.16	177.08	184.86	993	30347624	0.82	0.97	60	1	30371624
F651	133.0519	182.84	178.79	186.87	995	7706551	1.0	0.93	74	1	7754434
F652	133.0519	265.02	260.95	269.07	995	3588213	0.85	0.99	44	1	3643643
F653	133.0519	293.77	290.21	297.4	995	1570817	0.78	0.99	54	1	1593824
F654	191.1792	533.11	529.2	537.03	2440	3733323	0.99	0.96	4	1	3758845
F655	191.1792	552.92	549.07	556.78	2440	6473383	1.0	0.94	10	1	6480029
F656	191.1792	559.67	556.78	563.55	2440	7350027	1.0	0.95	13	1	7382692
F657	191.1792	567.11	564.2	569.68	2440	2695408	0.9	0.94	4	1	2709767
F658	191.1792	572.55	569.68	576.03	2440	4102704	0.98	0.91	5	1	4099064
F659	191.1792	576.97	576.03	579.18	2440	1774664	0.82	0.81	3	1	1822273
F660	191.1792	582.37	579.18	586.22	2440	4003822	0.97	0.94	5	1	4072647
F661	191.1792	596.8	592.95	599.99	2440	5018002	1.0	0.92	8	1	5006939
F662	191.1792	602.22	599.99	606.0	2440	4877604	1.0	0.91	8	1	4938550
F663	191.1792	619.67	617.12	623.48	2440	2443845	0.77	0.94	3	1	2447983
F666	191.1792	667.26	663.49	671.03	2440	3015715	0.89	0.98	4	1	3062937
F672	165.0617	33.99	31.09	36.2	1706	1035045	1.0	0.76	128	1	1076073
F673	88.0473	36.52	33.05	40.02	262	3137496	1.0	0.86	13	1	3165084
F674	165.0658	54.93	53.36	57.79	1708	647673	0.93	0.97	122	1	666341
F675	165.0658	143.77	139.67	147.91	1708	2841026	0.96	0.95	71	1	2885504
F679	133.0648	500.18	496.24	503.47	998	19666647	1.0	0.97	29	1	20010195
F680	133.0648	510.61	507.7	514.55	998	14897572	1.0	0.96	22	1	15226183
F681	133.0648	533.76	530.5	537.68	998	3209759	0.74	0.75	3	1	3553307
F687	133.0688	45.11	41.63	48.59	1000	3808916	1.0	0.91	75	1	3830288
F688	133.076	210.3	206.99	214.39	1001	1514322	1.0	0.99	155	1	1529566
F689	133.0841	99.22	95.4	101.11	1002	10761293	1.0	0.98	752	1	10794705
F690	133.0841	102.05	101.11	105.85	1002	9191780	1.0	0.99	750	1	9254415
F691	133.0841	278.57	274.49	282.64	1002	2747121	0.91	0.99	236	1	2778476
F692	133.0841	291.17	287.68	295.09	1002	1619513	0.88	0.99	165	1	1638699
F693	88.0757	161.01	156.87	165.12	265	6014087	0.86	0.96	3	1	9044862
F694	133.086	173.33	169.24	177.42	1003	3638642	1.0	0.97	190	1	3672078
F695	133.086	221.52	218.14	225.14	1003	2610076	1.0	1.0	83	1	2633659
F703	165.091	583.97	580.77	587.83	1709	10375324	0.72	0.86	4	1	12105853
F704	165.091	605.37	601.58	609.16	1709	11644341	0.81	0.92	3	1	13563848
F710	165.091	759.69	758.12	761.27	1709	4989480	0.81	0.85	3	1	5769113
F716	191.9787	877.09	875.42	879.08	2446	1167253	0.75	0.85	7	1	1276495
F718	191.9787	885.09	882.1	888.08	2446	1941301	0.84	0.8	8	1	1832950
F721	165.107	290.21	286.38	294.1	1710	5508716	1.0	1.0	391	1	5548894
F729	165.1272	431.76	427.77	435.09	1711	2649270	0.95	0.96	3	1	2809735
F732	165.1272	482.42	478.96	486.36	1711	5671477	1.0	0.95	7	1	5843346
F733	165.1272	584.93	581.09	588.79	1711	3882020	1.0	0.94	5	1	4101905
F736	88.3155	718.16	714.4	721.93	270	4181294	1.0	0.96	236	1	4239293
F741	133.1011	422.75	418.75	426.76	1005	27564214	0.74	0.86	3	1	29052501
F743	165.1386	174.68	170.6	178.79	1712	9506713	1.0	1.0	52	1	9554109
F747	191.982	841.75	837.88	845.28	2448	10078924	0.77	0.9	58	1	10234705
F748	133.1051	33.68	32.11	34.94	1007	280657014	1.0	0.84	4075	1	280667014
F749	133.1051	36.52	34.94	40.34	1007	247662210	1.0	0.98	1909	1	247680210
F750	88.9684	841.43	837.55	845.28	273	9127654	0.74	0.97	37	1	9153830
F751	165.1637	529.2	525.63	533.11	1713	3756290	1.0	0.97	8	1	3808917
F753	165.1637	614.58	611.39	618.39	1713	3636884	1.0	0.94	7	1	3659613
F755	165.9562	828.9	825.77	832.71	1714	2558229	0.89	0.9	8	1	2589740
F758	133.9977	826.08	822.64	829.85	1012	5235516	0.76	0.76	18	1	5322509
F761	88.991	827.02	823.26	830.8	275	78243189	0.92	0.82	12	1	78276845
F764	165.9879	845.28	834.31	925.64	1718	13243154	1.0	0.79	31	1	13525940
F765	192.008	836.27	830.48	861.56	2453	6167171	1.0	0.91	92	1	6264212
F769	192.0205	33.05	31.09	34.31	2456	2546818	1.0	0.99	494	1	2556821
F777	89.0597	450.28	446.34	454.24	278	16574565	1.0	0.97	12	1	17189390
F780	166.0239	828.27	826.08	832.07	1719	3436522	0.73	0.93	22	1	3510691
F781	166.0261	45.43	42.91	47.64	1720	1043040	1.0	0.96	94	1	1063376
F783	134.06	182.51	178.45	186.54	1016	30974438	1.0	0.9	37	1	30999438
F789	134.06	347.93	344.38	351.6	1016	15744744	1.0	0.99	45	1	15767744
F791	134.0682	499.86	497.23	503.8	1017	1541976	1.0	0.99	100	1	1565103
F792	134.0682	510.61	507.7	514.55	1017	1181151	1.0	0.97	79	1	1196844
F793	134.0903	291.17	287.36	295.09	1019	10693886	1.0	0.92	1009	1	10718886
F794	134.0903	373.74	371.04	375.76	1019	1970064	0.96	0.99	254	1	1985064
F795	134.0903	379.08	375.76	383.06	1019	9498159	1.0	0.99	1242	1	9521159
F796	134.0903	445.37	443.78	448.3	1019	2775921	0.98	0.94	348	1	2790921
F797	166.0499	80.22	76.19	84.25	1726	2498863	1.0	0.94	25	1	2524550
F798	166.0499	366.01	361.97	370.04	1726	1458245	0.92	0.94	10	1	1482592
F799	166.0528	53.36	50.51	56.83	1727	896659	1.0	0.77	125	1	912821
F805	192.0257	827.96	824.51	831.75	2457	65713026	0.82	0.92	8	1	66429943
F807	134.1059	33.37	32.43	34.94	1021	14295713	1.0	0.88	2593	1	14304713
F811	166.0556	240.1	159.28	288.0	1729	16876771	1.0	0.76	16	1	17257682
F812	134.1084	33.37	31.6	34.94	1022	4816701	1.0	0.94	722	1	4784525
F813	134.1084	36.84	34.94	40.66	1022	4400222	1.0	0.98	376	1	4367507
F816	192.0502	46.69	42.91	50.51	2461	7084105	1.0	0.94	259	1	7162110
F824	192.0686	33.68	31.6	34.62	2463	3720882	1.0	0.96	533	1	3714826
F825	192.0686	37.78	34.62	41.63	2463	8937353	1.0	0.93	680	1	8918626
