id_number	mz	rtime	empCpd	neutral_formula	ion_relation	rtime_left_base	rtime_right_base	parent_masstrack_id	peak_area	cSelectivity	goodness_fitting	snr	detection_counts	Bile_Acid_STD_HILICpos
F117	74.0719	169.92	102625		singleton	168.34	171.49	39	7452496	1.0	0.99	16	1	7513563
F122	99.0446	27.23	102627		singleton	25.65	28.67	335	2912935	1.0	0.92	145	1	3012460
F124	144.0809	28.41	kp299_102.0472		M0,ACN	26.96	29.98	862	11381285	0.86	0.88	1045	1	11405285
F140	74.9203	25.65	102637		singleton	24.6	26.31	63	865068	1.0	0.99	112	1	887699
F142	99.0669	187.9	_singleton_515	C3H6N4	singleton	105.49	249.57	338	95648307	1.0	0.87	4	1	120792349
F145	120.0908	248.78	kp1_117.077		13C/12C*2,M+H+	241.69	256.96	622	11369255	1.0	0.97	14	1	11490071
F146	99.0739	424.15	102638		singleton	419.29	438.2	340	8637556	1.0	0.78	49	1	8778458
F147	99.0809	27.62	519	C6H8	singleton	26.04	28.28	342	1485021	1.0	0.82	120	1	1526084
F157	121.0287	0.5	kp283_120.0216		M0,M+H+	0.11	1.16	626	46947158	1.0	0.98	12305	1	46956158
F158	121.045	42.33	521	C8H5F	singleton	40.88	43.9	627	2736173	1.0	0.78	52	1	2770643
F161	99.9596	297.31	102645		singleton	292.32	301.38	344	3138759	1.0	0.95	51	1	3218992
F164	144.9822	0.5	524	C3H4Cl2O	singleton	0.11	1.03	877	343262258	1.0	0.91	16	1	857960696
F165	144.9822	1.68	kp9_102.9484		M0,ACN	1.03	3.26	877	654033477	1.0	0.95	16	1	1464083708
F166	121.0651	132.73	_singleton_525	C8H8O	singleton	131.16	134.31	630	3623208	0.9	1.0	225	1	3666101
F167	121.0651	149.01	_singleton_526	C8H8O	singleton	147.43	150.62	630	2189475	0.87	0.97	85	1	2218645
F168	144.9873	2.21	_singleton_528	C6H5ClS	singleton	1.68	2.86	878	3299496	1.0	0.95	406	1	3309501
F173	144.9956	2.21	530	C5H4O3S	singleton	1.68	3.65	882	1424960	1.0	0.8	217	1	1443313
F174	145.0139	2.21	531	C6H8S2	singleton	1.81	3.52	883	676973	1.0	0.88	105	1	733513
F175	75.6083	25.52	102647		singleton	23.94	27.09	70	4296799	1.0	0.97	9	1	4322845
F178	75.6096	25.52	102648		singleton	23.94	27.09	71	2751994	1.0	0.97	9	1	2753367
F181	75.7198	25.52	102649		singleton	23.94	26.96	72	1748974	1.0	0.99	25	1	1758178
F182	121.1015	26.96	536	C9H12		25.65	28.41	635	4282075	1.0	0.98	81	1	4304084
F184	75.7211	25.39	102650		singleton	24.34	26.96	73	914793	1.0	0.75	100	1	932317
F185	76.0219	25.26	537	C2H5NS	singleton	24.6	26.17	74	912301	1.0	0.98	127	1	952784
F186	121.9747	113.67	102651		singleton	48.1	157.23	636	99265139	1.0	0.77	5	1	63950069
F187	121.9747	194.77	102652		singleton	157.23	234.6	636	36189908	0.98	0.84	4	1	36788872
F193	145.1011	28.67	kp447_252.7139		M0,HCl, 2x charged	27.36	29.19	888	2455148	1.0	0.92	305	1	2470674
F198	145.1086	0.5	_singleton_538	C5H10N4	singleton	0.11	1.03	889	1004709	1.0	0.88	30	1	1012711
F204	101.0602	0.5	kp291_100.0528		M0,M+H+	0.24	1.03	354	5350619	1.0	0.92	234	1	5357619
F209	78.9849	43.11	543	O2Si	singleton	41.54	44.69	95	4556398	0.96	0.73	25	1	4661603
F211	78.9946	42.46	544	C2H3ClO	singleton	41.28	43.11	97	980944	0.75	0.75	39	1	889836
F212	78.9954	42.59	102657		singleton	41.14	43.38	98	1731203	1.0	0.97	33	1	1726316
F213	78.9954	44.16	102658		singleton	43.51	45.61	98	1338829	1.0	0.89	20	1	1319368
F215	78.996	42.33	_singleton_545	CHBO2	singleton	40.88	42.46	99	932486	0.78	0.86	14	1	819371
F216	78.996	43.51	_singleton_546	CHBO2	singleton	42.59	44.43	99	1706419	0.89	0.71	17	1	1886787
F217	78.9966	42.06	547	CHBO2	singleton	41.28	43.24	100	1183250	1.0	0.74	98	1	1139264
F218	79.0036	41.8	102660		singleton	41.28	42.46	101	503512	1.0	0.92	64	1	513516
F219	123.0668	0.5	kp293_122.0594		M0,M+H+	0.11	1.03	647	937654	1.0	0.88	41	1	945655
F221	123.0808	27.23	_singleton_479	C8H10O		25.65	28.8	648	9491133	1.0	0.98	14	1	9896830
F222	101.0714	0.63	548	C4H6N2	singleton	0.24	1.95	355	20250179	1.0	0.76	17	1	21932585
F225	79.0113	41.67	102663		singleton	41.01	42.33	111	854191	0.76	0.88	15	1	767439
F226	79.0113	43.38	102664		singleton	42.59	44.16	111	1604667	0.88	0.9	22	1	1571305
F228	79.0129	42.33	102665		singleton	41.93	43.64	113	2861271	1.0	0.89	34	1	2734960
F229	79.0129	44.03	102666		singleton	43.64	45.21	113	1632138	1.0	0.95	23	1	1687013
F231	145.9856	3.39	549	C5H6OS2	singleton	2.86	4.97	895	26209658	0.72	0.87	9	1	27131405
F232	79.0136	41.8	_singleton_550	H2N2O3	singleton	41.01	42.46	114	1648544	1.0	0.93	20	1	1660548
F233	79.0136	43.11	_singleton_551	H2N2O3	singleton	42.46	44.3	114	1913493	1.0	0.8	21	1	1898926
F238	101.1078	0.5	102669		singleton	0.11	1.16	356	23857581	1.0	0.95	29	1	24070605
F239	101.1078	2.47	kp276_100.1004		M0,M+H+	1.95	3.78	356	38450985	1.0	0.78	34	1	38806024
F240	123.1171	26.7	553	C9H14	singleton	25.12	28.28	651	4482207	1.0	0.95	201	1	4565438
F241	79.0152	42.33	_singleton_554	C3H4O	singleton	40.75	43.9	116	5038148	0.91	0.75	26	1	5077061
F255	146.0602	43.24	559	C9H7NO	singleton	41.67	44.82	898	12168594	0.81	0.79	103	1	12193594
F256	102.0667	0.76	_singleton_560	C3H5N3	singleton	0.24	1.29	362	11034736	1.0	0.94	38	1	11313434
F260	79.019	42.72	kp14_78.0121		M0,M+H+	41.14	43.9	121	99413190	1.0	0.91	21	1	99435190
F264	79.0218	42.46	kp6_78.0143		M0,M+H+	40.88	44.03	122	1548785920	0.91	0.96	13	1	15613067776
F268	146.0813	307.81	kp297_145.074		M0,M+H+	306.24	309.39	899	17603531	0.78	0.97	6	1	18846197
F276	146.0925	283.65	kp17_145.0852		M0,M+H+	282.08	285.23	902	445860767	1.0	0.94	56	1	445885767
F280	79.0245	42.19	kp19_78.0172		M0,M+H+	40.62	43.77	126	102667121	0.89	0.89	15	1	102692121
F282	146.0993	283.65	571	C7H15NS	singleton	282.08	285.23	904	2754672	1.0	0.95	46	1	2838343
F284	146.1177	117.65	_singleton_572	C7H12O2	singleton	116.07	119.09	906	18806122	1.0	0.91	111	1	18830122
F291	79.0298	42.46	102680		singleton	40.88	43.11	133	4044716	1.0	0.93	70	1	4023481
F292	79.0298	44.16	102681		singleton	43.38	45.08	133	1590361	1.0	0.96	27	1	1545144
F293	79.0298	49.02	102682		singleton	48.1	50.34	133	965199	0.72	0.83	17	1	970544
F294	102.1031	2.73	578	C4H8N2	singleton	1.95	4.31	366	3089979	1.0	0.8	47	1	3106827
F301	79.0307	41.93	_singleton_584	C3H7Cl	singleton	41.28	42.46	134	2087545	1.0	0.99	33	1	2203111
F302	79.0307	43.11	_singleton_585	C3H7Cl	singleton	42.46	44.3	134	2433440	0.94	0.8	24	1	2257236
F304	79.0314	43.11	102683		singleton	41.93	44.56	135	2713790	1.0	0.72	27	1	2731358
F305	79.0322	42.59	587	CH3NS	singleton	41.28	43.24	136	1717749	0.91	0.89	16	1	1657837
F307	125.0253	412.07	102685		singleton	404.06	438.33	658	15386646	1.0	0.78	78	1	15637832
F308	79.0335	42.33	102686		singleton	40.75	42.85	137	7040001	0.8	0.72	35	1	7057001
F312	102.5359	1.29	102690		singleton	0.9	1.81	374	1295525	1.0	0.88	25	1	1303528
F325	79.0364	42.46	102696		singleton	41.54	43.11	140	1333509	1.0	0.96	50	1	1346512
F326	79.0383	42.85	102697		singleton	42.46	43.9	142	838881	0.75	0.83	52	1	850888
F327	103.0507	0.5	kp298_102.0433		M0,M+H+	0.11	1.16	376	2972623	1.0	0.99	20	1	2981628
F331	146.9734	2.34	593	C4H6Cl2	singleton	1.81	3.0	914	1627199	1.0	0.97	300	1	1637203
F333	79.0474	42.98	102699		singleton	41.41	44.43	151	3444714	1.0	0.75	30	1	3386244
F334	125.0712	0.5	503	C6H8N2O	singleton	0.24	1.16	659	18537910	0.83	0.93	24	1	19003466
F337	79.0579	42.98	102702		singleton	42.46	43.64	155	1437436	0.75	0.83	46	1	1529635
F339	79.064	42.59	102704		singleton	41.01	42.98	158	925679	1.0	0.71	70	1	941684
F340	79.064	43.9	102705		singleton	43.38	45.08	158	902934	1.0	0.86	84	1	916940
F341	79.0715	42.59	102706		singleton	41.8	43.24	159	1455382	1.0	0.91	83	1	1497958
F342	125.0824	0.76	kp300_124.0751		M0,M+H+	0.24	1.16	661	6954252	1.0	0.91	56	1	7048511
F346	79.2037	42.85	102708		singleton	42.06	43.11	163	795659	1.0	0.94	67	1	840756
F348	103.087	0.63	kp301_102.0796		M0,M+H+	0.24	1.29	379	16024726	1.0	0.96	42	1	16392186
F351	146.9804	3.13	kp8_145.9731		M0,M+H+	2.86	4.7	918	222729682	0.72	0.94	7	1	275881459
F352	80.0211	42.46	kp24_79.0138		M0,M+H+	40.88	44.03	170	141479466	1.0	0.88	17	1	141504466
F353	146.9856	2.08	596	C3H2N2O3S	singleton	1.55	2.6	920	1042853	1.0	0.96	210	1	1051855
F354	125.0966	27.23	597	C8H10	singleton	25.65	28.67	663	2901808	1.0	0.97	149	1	2987540
F355	103.1234	2.34	598	C5H14N2	singleton	1.81	3.92	381	1231160	1.0	0.8	80	1	1258931
F356	146.9872	2.21	599	C6H4OS	singleton	1.68	2.86	921	1955750	1.0	0.98	279	1	1983726
F358	103.5738	157.36	102710		singleton	155.78	158.94	383	3107435	1.0	0.99	231	1	3152190
F359	103.576	157.36	102711		singleton	155.78	158.8	384	2072807	1.0	0.99	180	1	2107690
F360	103.8016	28.67	102712		singleton	27.23	30.25	385	54109086	1.0	0.99	5172	1	54133086
F361	103.8038	28.8	102713		singleton	27.23	30.38	386	45496382	1.0	0.99	4360	1	45521382
F364	147.0653	28.93	601	C6H10O4	singleton	27.36	30.25	924	6386792	1.0	0.99	625	1	6418402
F365	80.05	0.63	102714		singleton	0.11	1.16	177	2183755	1.0	0.94	10	1	2357140
F373	147.0894	283.52	kp15_145.0786		13C/12C,M+H+	281.94	285.1	928	3854039	0.92	0.8	46	1	3881859
F374	104.0524	28.67	607	C4H9NS	singleton	27.36	30.25	389	14103361	1.0	0.98	1363	1	14126361
F375	80.1669	100.33	102716		singleton	43.77	213.46	178	68746344	0.71	0.83	3	1	69982926
F376	104.0546	28.67	102717		singleton	27.36	30.11	390	11862922	1.0	0.95	1216	1	11884922
F377	104.0624	28.8	_singleton_608	C8H8	singleton	27.36	30.25	391	14767256	1.0	0.96	1518	1	14790256
F378	147.0918	31.82	kp25_146.0845		M0,M+H+	30.51	33.4	929	21313362	1.0	0.97	219	1	21375730
F379	126.0219	413.12	610	C2H7NO3S	singleton	403.14	442.53	665	18701677	1.0	0.78	67	1	19011633
F394	147.1169	27.49	620	C11H14	singleton	26.17	28.14	932	1163790	0.83	0.95	125	1	1179797
F395	104.1074	204.27	621	C5H14NO	singleton	202.96	205.71	397	21338413	0.73	0.89	10	1	21947576
F396	104.8275	0.5	102718		singleton	0.11	1.16	398	29196750	1.0	0.97	8296	1	29205750
F397	104.8298	0.5	102719		singleton	0.11	1.16	399	24065496	1.0	0.98	6979	1	24074496
F398	126.0916	0.63	_singleton_622	C7H8O	singleton	0.11	1.29	668	3227110	1.0	0.97	52	1	3352009
F399	81.0176	42.46	kp28_80.0102		M0,M+H+	40.88	44.03	185	902606768	1.0	0.91	15	1	904107787
F412	82.0657	0.5	102722		singleton	0.24	0.9	195	2889068	0.75	0.94	1020	1	2895068
F415	147.9982	254.3	627	C3H2F3NO	singleton	252.72	255.91	936	2716931	0.79	0.95	22	1	2747347
F418	83.0167	42.33	102724		singleton	40.88	43.38	199	2592813	0.77	0.94	71	1	2685693
F420	148.0605	332.23	_singleton_630	C5H6O4	singleton	330.66	333.02	937	3994935	0.78	0.97	6	1	4045546
F422	148.0605	340.38	_singleton_632	C5H6O4	singleton	339.59	341.95	937	3314232	0.74	0.95	5	1	3334281
F423	148.0605	361.12	_singleton_633	C5H6O4	singleton	359.68	361.78	937	3287584	0.78	0.99	7	1	3331697
F424	148.0605	363.49	634	C5H6O4	singleton	361.91	365.06	937	5064980	0.78	0.89	7	1	5120509
F425	83.0498	28.67	102725		singleton	27.09	29.59	200	2753113	1.0	0.95	315	1	2801790
F426	83.061	1.16	kp20_82.0535		M0,M+H+	0.11	2.21	207	807200676	1.0	0.98	18	1	949408412
F427	105.0663	0.76	635	C3H8N2O2	singleton	0.24	1.29	417	11916668	1.0	0.89	49	1	12057857
F429	83.0638	1.29	102726		singleton	0.9	1.81	209	915454	1.0	0.88	151	1	923457
F430	105.0703	28.8	kp306_104.0628		M0,M+H+	27.23	30.38	418	29209855	1.0	0.94	3124	1	29234855
F437	105.0784	0.5	636	C4H11NO2	singleton	0.11	1.03	420	8288970	1.0	0.92	2255	1	8296970
F438	84.058	0.76	102730		singleton	0.24	1.81	216	5020891	1.0	0.88	26	1	5246236
F439	127.0868	0.5	kp30_126.0795		M0,M+H+	0.24	1.29	677	20801815	1.0	0.96	41	1	21500168
F442	127.0981	0.63	_singleton_540	C5H10N4	singleton	0.11	1.29	678	2636643	1.0	0.98	486	1	2646645
F443	127.0981	2.47	541	C5H10N4	singleton	1.95	3.92	678	1129161	1.0	0.71	119	1	1141122
F449	128.0708	0.37	_singleton_642	C6H6O2		0.11	0.9	681	1274546	0.86	0.85	14	1	1571293
F459	149.0234	0.76	kp32_148.0161		M0,M+H+	0.11	1.95	944	322625014	1.0	0.98	17999	1	750476787
F461	106.0655	28.54	_singleton_656	C7H7N	singleton	26.96	30.11	432	9417462	1.0	0.98	18	1	10898504
F467	85.029	28.93	102734		singleton	27.36	29.46	220	3091483	1.0	0.95	375	1	3118238
F472	107.0859	28.67	kp34_106.0787		M0,M+H+	27.09	30.25	440	79850553	1.0	0.97	8209	1	79875553
F475	129.0549	28.93	_singleton_643	C6H6O2	singleton	27.36	30.25	690	7024383	1.0	1.0	677	1	7023273
F476	85.0766	0.5	kp305_84.0692		M0,M+H+	0.24	1.16	223	17707080	1.0	0.94	31	1	18127403
F479	149.0823	0.76	kp310_107.0486		M0,ACN	0.24	1.03	947	5211525	1.0	0.73	26	1	5218525
F489	149.1075	405.11	666	C9H9N	singleton	364.27	447.52	949	29736812	0.98	0.76	5	1	30382444
F490	149.1326	27.09	667	C11H16	singleton	25.91	28.01	950	1466041	1.0	0.96	142	1	1459916
F494	86.2474	25.65	102741		singleton	24.73	26.17	227	686566	1.0	0.99	104	1	698571
F499	108.0581	28.67	670	C4H9FO2	singleton	27.62	30.25	445	32490852	1.0	0.97	3463	1	32511852
F500	108.0605	28.67	102742		singleton	27.62	30.25	446	26870883	1.0	0.98	2776	1	26891883
F502	87.0447	303.48	102744		singleton	301.9	305.05	229	3284942	0.89	0.88	30	1	3311138
F504	108.0812	0.63	_singleton_671	C7H9N	singleton	0.11	1.55	448	4692389	1.0	0.98	12	1	4796463
F507	109.0228	1.16	102746		singleton	0.11	2.47	459	311643334	1.0	0.87	40925	1	406737332
F510	130.0653	88.61	673	C9H7N	singleton	87.17	90.19	697	6105313	0.91	0.85	100	1	6129313
F514	130.0865	0.5	kp448_258.6617		M0,M+H+, 2x charged	0.11	1.16	699	2604321	1.0	0.93	13	1	2620618
F518	150.0775	83.62	kp35_149.0702		M0,M+H+	82.05	85.2	959	54758346	0.81	0.97	86	1	54783346
F522	109.0652	27.36	623	C7H8O	singleton	26.04	28.14	461	1191748	1.0	0.97	96	1	1208755
F528	150.0914	153.91	_singleton_694	C9H8O	singleton	152.33	155.52	961	3913776	0.85	0.92	16	1	3938776
F530	109.1016	27.23	696	C8H12	singleton	25.65	28.67	463	11030445	1.0	0.98	83	1	11022872
F531	150.1026	0.63	kp36_108.069		M0,ACN	0.11	1.16	962	11386002	1.0	0.98	90	1	11395002
F532	130.1089	166.9	697	C4H11N5	singleton	165.28	168.47	703	16819446	1.0	0.95	1048	1	16844446
F533	109.2969	28.41	102749		singleton	27.09	29.98	464	19072373	1.0	0.93	1961	1	19095373
F534	88.0511	0.76	102750		singleton	0.37	1.29	237	2346204	1.0	0.95	7	1	2892099
F535	109.2993	28.41	102751		singleton	27.23	29.98	465	15903252	1.0	0.94	1558	1	15925252
F537	109.5223	1.29	102752		singleton	0.11	2.6	466	355071866	1.0	0.95	7574	1	531047938
F539	109.5479	29.06	102753		singleton	27.49	29.85	468	4361162	1.0	0.84	376	1	4383303
F540	109.5499	28.93	102754		singleton	27.75	29.72	469	2035543	1.0	0.9	297	1	2000597
F541	110.0203	1.16	kp450_177.5032		M0,ACN, 2x charged	0.11	2.73	472	329626819	1.0	0.96	1338607	1	12692376313
F551	151.1118	27.36	_singleton_702	C10H14O	singleton	26.17	28.28	972	1281169	1.0	0.98	122	1	1322558
F554	151.9988	296.78	708	CHF3O2S	singleton	290.22	305.58	974	8154059	1.0	0.97	51	1	8280896
F555	89.0351	0.5	kp39_88.0278		M0,M+H+	0.24	1.16	247	4554507	1.0	0.76	15	1	4562507
F559	110.0716	0.63	kp260_68.038		M0,M+H+	0.24	1.16	476	17536482	1.0	0.97	23	1	18055796
F566	131.0817	0.63	kp314_130.0744		M0,ACN	0.11	1.29	711	7289709	0.78	0.98	8	1	8187760
F569	131.0817	303.22	714	C5H7NO2	singleton	301.77	304.79	711	21900543	0.76	0.98	3	1	24000807
F570	89.0715	0.63	kp315_88.064		M0,M+H+	0.24	1.68	250	7332786	1.0	0.99	7	1	8966672
F573	131.0856	26.83	715	C10H10	singleton	26.04	28.01	713	1100941	0.92	0.9	92	1	1142886
F574	152.0819	0.5	_singleton_716	C7H9N3O		0.11	1.16	978	7430875	1.0	0.89	30	1	7439875
F578	131.1546	2.34	kp317_130.1471		M0,M+H+	1.81	3.92	716	2362455	1.0	0.83	285	1	2380435
F583	90.0058	1.42	kp442_179.0042		M0,M+H+, 2x charged	0.76	1.95	255	10129517	1.0	0.92	2761	1	10139517
F587	152.1071	133.0	_singleton_722	C9H10O	singleton	131.42	134.57	981	8624865	0.87	0.98	37	1	8649865
F589	90.0581	301.25	102763		singleton	299.8	302.3	266	1596514	0.75	0.74	127	1	1662142
F590	152.1183	0.63	kp319_110.0846		M0,ACN	0.11	1.16	982	17142413	1.0	0.97	146	1	17159052
F595	111.0444	0.5	_singleton_644	C6H6O2	singleton	0.11	1.03	486	1574009	1.0	0.97	117	1	1582011
F596	111.0444	28.67	645	C6H6O2	singleton	27.09	30.25	486	6899871	1.0	0.97	582	1	6912377
F598	153.0111	1.81	729	C6H4N2OS	singleton	0.37	2.34	987	30510917	1.0	0.79	26	1	30526917
F603	132.0657	289.69	_singleton_677	C5H9NO3	singleton	288.12	290.35	721	9618335	0.89	0.74	4	1	9737093
F605	132.0657	294.16	_singleton_679	C5H9NO3	singleton	293.5	294.81	721	6291999	0.9	0.89	5	1	6258322
F606	132.0657	295.86	_singleton_680	C5H9NO3	singleton	294.81	297.44	721	11088948	0.86	0.9	4	1	11085175
F607	132.0657	298.09	_singleton_681	C5H9NO3	singleton	297.44	298.62	721	4928121	0.82	0.84	4	1	5067401
F608	132.0657	299.41	_singleton_682	C5H9NO3	singleton	298.62	300.33	721	6995221	0.86	0.88	4	1	7025615
F610	132.0657	302.56	_singleton_684	C5H9NO3	singleton	302.17	303.22	721	3496786	0.74	0.84	3	1	3517792
F617	132.0769	282.86	_singleton_731	C4H6N2O2	singleton	281.42	284.44	722	95178307	0.8	0.96	16	1	95202307
F618	132.0769	289.03	_singleton_732	C4H6N2O2	singleton	287.46	289.3	722	66137647	0.72	0.95	14	1	39161092
F623	91.0548	28.67	kp322_90.0473		M0,M+H+	27.23	30.25	281	107757020	1.0	0.96	559	1	108076805
F625	91.0564	28.41	737	C2H7BO3	singleton	27.62	28.93	282	776734	1.0	0.81	108	1	787739
F626	153.0772	0.5	_singleton_738	C6H6N4	singleton	0.11	1.16	992	3062505	0.72	0.97	21	1	3110004
F628	153.0772	335.78	_singleton_740	C6H6N4	singleton	334.2	337.36	992	14418740	0.76	0.94	9	1	14646103
F630	111.0809	27.49	661	C7H10O	singleton	25.91	28.41	491	4028064	1.0	0.96	55	1	4186653
F632	153.091	27.88	723	C9H10O	singleton	26.31	28.41	993	2022245	1.0	0.85	11	1	2078388
F635	153.1136	4.05	_singleton_742	C9H14NO	singleton	3.52	5.39	995	1892574	0.97	0.76	46	1	1907574
F637	133.0279	362.04	745	C8H4O2	singleton	360.47	363.62	727	4970446	1.0	0.99	378	1	4965423
F642	133.0649	28.67	695	C9H8O	singleton	27.09	30.25	733	20933761	1.0	0.89	2511	1	20958761
F643	159.1129	0.5	kp323_158.1057		M0,M+H+	0.11	1.42	1075	7612591	1.0	0.99	18	1	8017461
F649	133.0972	0.63	748	C5H10N2O	singleton	0.11	1.16	737	1424423	1.0	0.97	69	1	1433427
F655	159.1857	2.34	751	C9H19N	singleton	1.81	3.78	1079	2426985	1.0	0.96	332	1	2432883
F656	159.3246	25.65	102772		singleton	24.86	27.09	1080	1100168	1.0	0.98	119	1	1118178
F657	159.3282	25.91	102773		singleton	24.99	26.83	1081	938923	1.0	0.98	104	1	953930
F658	111.5622	29.19	102774		singleton	27.62	30.77	498	4642825	1.0	0.93	373	1	4663179
F659	111.5642	29.59	102775		singleton	28.67	30.77	499	2492776	0.79	0.93	260	1	2517356
F663	133.1337	2.21	752	C6H13NO	singleton	1.68	3.39	740	2250273	1.0	0.83	71	1	2277320
F666	133.9826	252.06	755	C4H4ClNS	singleton	250.49	253.64	741	11074838	0.83	0.87	6	1	11179845
F674	160.0798	282.47	761	C7H11NS	singleton	271.96	295.07	1088	13193765	1.0	0.94	143	1	13385281
F675	112.0211	1.29	762	C5H5NS	singleton	0.9	1.81	504	1041975	1.0	0.88	209	1	1049976
F677	154.0976	0.63	kp325_112.0639		M0,M+H+	0.11	1.16	1006	15241905	1.0	0.96	41	1	15666558
