,mz,Bile_Acid_STD_HILICpos
0,67.79765510559082,0
1,67.79877471923828,1
2,67.90887832641602,2
3,68.05007934570312,3
4,68.83586120605469,4
5,68.9938850402832,5
6,69.04450798034668,6
7,69.04536819458008,7
8,69.79894256591797,8
9,70.06576538085938,9
10,70.28412818908691,10
11,70.81131553649902,11
12,70.9227066040039,12
13,70.92322540283203,13
14,70.9237060546875,14
15,71.06097793579102,15
16,71.06224822998047,16
17,71.06287384033203,17
18,71.93928909301758,18
19,71.94046020507812,19
20,72.0450210571289,20
21,72.08028221130371,21
22,72.0814208984375,22
23,72.0824966430664,23
24,72.70292663574219,24
25,72.70421981811523,25
26,72.8144760131836,26
27,72.81564903259277,27
28,73.07555389404297,28
29,73.07665252685547,29
30,73.07771110534668,30
31,73.08477020263672,31
32,73.71646118164062,32
33,73.71774673461914,33
34,73.71846771240234,34
35,73.8279800415039,35
36,73.8292121887207,36
37,74.0595760345459,37
38,74.0606575012207,38
39,74.0718765258789,39
40,74.07368087768555,40
41,74.08523941040039,41
42,74.08614730834961,42
43,74.08734703063965,43
44,74.0894889831543,44
45,74.0911636352539,45
46,74.09174346923828,46
47,74.0924072265625,47
48,74.09315490722656,48
49,74.09381866455078,49
50,74.09458541870117,50
51,74.0950813293457,51
52,74.09702682495117,52
53,74.09894561767578,53
54,74.0994987487793,54
55,74.1002311706543,55
56,74.10093688964844,56
57,74.10165023803711,57
58,74.10218048095703,58
59,74.10289764404297,59
60,74.10481643676758,60
61,74.10740280151367,61
62,74.10872650146484,62
63,74.92026901245117,63
64,75.05591583251953,64
65,75.09115982055664,65
66,75.09228515625,66
67,75.09404754638672,67
68,75.10037612915039,68
69,75.10316467285156,69
70,75.60831069946289,70
71,75.60958862304688,71
72,75.71980285644531,72
73,75.72109413146973,73
74,76.02189254760742,74
75,76.02321434020996,75
76,76.03983306884766,76
77,76.07630157470703,77
78,76.07737731933594,78
79,76.10376167297363,79
80,76.13318061828613,80
81,77.0715446472168,81
82,77.9992446899414,82
83,78.02312469482422,83
84,78.02437973022461,84
85,78.05558395385742,85
86,78.8403205871582,86
87,78.95630645751953,87
88,78.96973419189453,88
89,78.97040939331055,89
90,78.97119903564453,90
91,78.97189521789551,91
92,78.9726333618164,92
93,78.97942924499512,93
94,78.98023223876953,94
95,78.98489379882812,95
96,78.99385261535645,96
97,78.99457931518555,97
98,78.99538993835449,98
99,78.99601364135742,99
100,78.99661636352539,100
101,79.00360870361328,101
102,79.00446510314941,102
103,79.00509643554688,103
104,79.00580215454102,104
105,79.00667572021484,105
106,79.00759506225586,106
107,79.00824546813965,107
108,79.00889587402344,108
109,79.00952911376953,109
110,79.01052474975586,110
111,79.01134490966797,111
112,79.01204681396484,112
113,79.01289749145508,113
114,79.01358032226562,114
115,79.01445388793945,115
116,79.01520538330078,116
117,79.01589584350586,117
118,79.01665115356445,118
119,79.0174446105957,119
120,79.0182113647461,120
121,79.0190200805664,121
122,79.02175521850586,122
123,79.02278137207031,123
124,79.02326202392578,124
125,79.02385711669922,125
126,79.02446365356445,126
127,79.0252456665039,127
128,79.02606391906738,128
129,79.02703094482422,129
130,79.02756118774414,130
131,79.0282096862793,131
132,79.02896118164062,132
133,79.02983474731445,133
134,79.03068161010742,134
135,79.03139114379883,135
136,79.03219223022461,136
137,79.03349304199219,137
138,79.03446578979492,138
139,79.03516387939453,139
140,79.03641700744629,140
141,79.0373420715332,141
142,79.03828811645508,142
143,79.03899383544922,143
144,79.03976821899414,144
145,79.04059219360352,145
146,79.04137802124023,146
147,79.04201126098633,147
148,79.04277610778809,148
149,79.04586410522461,149
150,79.04684448242188,150
151,79.04741287231445,151
152,79.0481071472168,152
153,79.04887008666992,153
154,79.04944801330566,154
155,79.05789947509766,155
156,79.0592041015625,156
157,79.0632152557373,157
158,79.06399917602539,158
159,79.07152557373047,159
160,79.07220458984375,160
161,79.07307815551758,161
162,79.07372856140137,162
163,79.20372772216797,163
164,79.9875659942627,164
165,79.98834991455078,165
166,79.99029922485352,166
167,79.99150276184082,167
168,79.99224472045898,168
169,79.99305725097656,169
170,80.02114486694336,170
171,80.02217102050781,171
172,80.02317810058594,172
173,80.02388000488281,173
174,80.02506256103516,174
175,80.0263900756836,175
176,80.02783203125,176
177,80.05001831054688,177
178,80.16690063476562,178
179,80.16810607910156,179
180,80.94844436645508,180
181,80.99361801147461,181
182,81.01471900939941,182
183,81.01545524597168,183
184,81.01644515991211,184
185,81.01755905151367,185
186,81.01866149902344,186
187,81.01962280273438,187
188,81.02033233642578,188
189,81.02457427978516,189
190,81.02593994140625,190
191,81.07051277160645,191
192,81.5210952758789,192
193,81.98842239379883,193
194,82.02091217041016,194
195,82.06573486328125,195
196,82.22786903381348,196
197,82.22940826416016,197
198,82.94547271728516,198
199,83.01668930053711,199
200,83.04975128173828,200
201,83.0546646118164,201
202,83.05546188354492,202
203,83.05640411376953,203
204,83.05712890625,204
205,83.05807876586914,205
206,83.05879592895508,206
207,83.06095504760742,207
208,83.06313705444336,208
209,83.06383895874023,209
210,83.06476593017578,210
211,83.06561279296875,211
212,83.06647491455078,212
213,83.06731033325195,213
214,84.04497146606445,214
215,84.05620574951172,215
216,84.05795669555664,216
217,84.06428527832031,217
218,84.08134078979492,218
219,84.24652862548828,219
220,85.0289535522461,220
221,85.06532859802246,221
222,85.07528686523438,222
223,85.07659149169922,223
224,85.08464622497559,224
225,86.06061553955078,225
226,86.09701156616211,226
227,86.2474308013916,227
228,86.24884414672852,228
229,87.0446548461914,229
230,87.05452728271484,230
231,87.05584335327148,231
232,87.05721282958984,232
233,87.09223937988281,233
234,88.02215957641602,234
235,88.0398941040039,235
236,88.04972076416016,236
237,88.05111312866211,237
238,88.05258178710938,238
239,88.06821823120117,239
240,88.07475662231445,240
241,88.07626724243164,241
242,88.07784271240234,242
243,88.08749008178711,243
244,88.11264419555664,244
245,88.50956726074219,245
246,89.00879669189453,246
247,89.03511047363281,247
248,89.06912231445312,248
249,89.06982421875,249
250,89.07146835327148,250
251,89.07288360595703,251
252,89.07963180541992,252
253,89.10790252685547,253
254,89.50712966918945,254
255,90.00576400756836,255
256,90.00884628295898,256
257,90.04838180541992,257
258,90.04884910583496,258
259,90.04932403564453,259
260,90.05029678344727,260
261,90.05123138427734,261
262,90.05215835571289,262
263,90.05293655395508,263
264,90.05414009094238,264
265,90.05551147460938,265
266,90.05810356140137,266
267,90.05877304077148,267
268,90.05976867675781,268
269,90.06073379516602,269
270,90.06246566772461,270
271,90.07111358642578,271
272,90.07183074951172,272
273,90.07249450683594,273
274,90.0919189453125,274
275,90.50743103027344,275
276,90.5263614654541,276
277,90.97721862792969,277
278,91.04926300048828,278
279,91.05073928833008,279
280,91.05245208740234,280
281,91.05476379394531,281
282,91.05639457702637,282
283,91.0588264465332,283
284,91.5051155090332,284
285,92.03747177124023,285
286,92.05892181396484,286
287,92.0711784362793,287
288,92.0726547241211,288
289,93.07061958312988,289
290,94.0456314086914,290
291,94.0484790802002,291
292,94.0656509399414,292
293,95.04424667358398,293
294,95.05924415588379,294
295,95.0608901977539,295
296,95.08606719970703,296
297,95.96468353271484,297
298,96.04648208618164,298
299,96.04827499389648,299
300,96.05012130737305,300
301,96.05450820922852,301
302,96.05614852905273,302
303,96.05769729614258,303
304,96.08128356933594,304
305,96.92231750488281,305
306,96.96117401123047,306
307,96.97239303588867,307
308,97.02893829345703,308
309,97.04010009765625,309
310,97.04771423339844,310
311,97.04837226867676,311
312,97.05151748657227,312
313,97.06524276733398,313
314,97.07391738891602,314
315,97.07477569580078,315
316,97.07652282714844,316
317,97.0792121887207,317
318,97.51488304138184,318
319,97.96925354003906,319
320,97.99180603027344,320
321,98.01412582397461,321
322,98.04407501220703,322
323,98.06057357788086,323
324,98.06879043579102,324
325,98.07176971435547,325
326,98.07988739013672,326
327,98.09693145751953,327
328,98.51249694824219,328
329,98.91929626464844,329
330,98.96170425415039,330
331,98.97563552856445,331
332,99.01107788085938,332
333,99.01269340515137,333
334,99.0141658782959,334
335,99.04455947875977,335
336,99.05410766601562,336
337,99.05575942993164,337
338,99.06691360473633,338
339,99.06880950927734,339
340,99.07394027709961,340
341,99.07514190673828,341
342,99.08094787597656,342
343,99.0921630859375,343
344,99.9595832824707,344
345,100.0396957397461,345
346,100.0510482788086,346
347,100.05287551879883,347
348,100.07617568969727,348
349,100.08744430541992,349
350,100.09550094604492,350
351,100.11258316040039,351
352,100.11447525024414,352
353,101.0036506652832,353
354,101.06021118164062,354
355,101.07142639160156,355
356,101.10783386230469,356
357,101.10969352722168,357
358,101.11591720581055,358
359,102.03436660766602,359
360,102.05547332763672,360
361,102.05824279785156,361
362,102.06669235229492,362
363,102.09002685546875,363
364,102.0918083190918,364
365,102.09371185302734,365
366,102.10307693481445,366
367,102.11066436767578,367
368,102.12522506713867,368
369,102.12639236450195,369
370,102.12817764282227,370
371,102.12978744506836,371
372,102.13113975524902,372
373,102.13214492797852,373
374,102.53588104248047,374
375,102.9993782043457,375
376,103.05070495605469,376
377,103.05464935302734,377
378,103.05878829956055,378
379,103.08702087402344,379
380,103.09515380859375,380
381,103.12344360351562,381
382,103.13151550292969,382
383,103.57377243041992,383
384,103.57597732543945,384
385,103.80155181884766,385
386,103.80377197265625,386
387,103.95371627807617,387
388,103.95580291748047,388
389,104.0523738861084,389
390,104.0545597076416,390
391,104.06244659423828,391
392,104.06697654724121,392
393,104.06811141967773,393
394,104.06903076171875,394
395,104.06958770751953,395
396,104.07108688354492,396
397,104.1073989868164,397
398,104.82753372192383,398
399,104.82979965209961,399
400,104.98868179321289,400
401,104.98981857299805,401
402,104.99077987670898,402
403,104.9927749633789,403
404,105.03387069702148,404
405,105.03493118286133,405
406,105.03626251220703,406
407,105.037353515625,407
408,105.03861236572266,408
409,105.03948211669922,409
410,105.04276275634766,410
411,105.04598236083984,411
412,105.04693984985352,412
413,105.04813766479492,413
414,105.0492935180664,414
415,105.05055618286133,415
416,105.05166625976562,416
417,105.06626510620117,417
418,105.0702896118164,418
419,105.07438659667969,419
420,105.07835578918457,420
421,105.08057975769043,421
422,105.95396423339844,422
