id_number	mz	rtime	rtime_left_base	rtime_right_base	parent_masstrack_id	peak_area	cSelectivity	goodness_fitting	snr	detection_counts	Bile_Acid_STD_HILICpos
F160	121.0474	42.06	40.49	43.51	628	6323799	0.73	0.94	15	1	6338210
F161	99.9596	297.31	292.32	301.38	344	3138759	1.0	0.95	51	1	3218992
F164	144.9822	0.5	0.11	1.03	877	343262258	1.0	0.91	16	1	857960696
F165	144.9822	1.68	1.03	3.26	877	654033477	1.0	0.95	16	1	1464083708
F166	121.0651	132.73	131.16	134.31	630	3623208	0.9	1.0	225	1	3666101
F167	121.0651	149.01	147.43	150.62	630	2189475	0.87	0.97	85	1	2218645
F168	144.9873	2.21	1.68	2.86	878	3299496	1.0	0.95	406	1	3309501
F171	144.9909	1.95	1.68	3.13	880	1459605	1.0	0.93	90	1	1552046
F173	144.9956	2.21	1.68	3.65	882	1424960	1.0	0.8	217	1	1443313
F174	145.0139	2.21	1.81	3.52	883	676973	1.0	0.88	105	1	733513
F175	75.6083	25.52	23.94	27.09	70	4296799	1.0	0.97	9	1	4322845
F176	121.0925	28.54	27.62	29.19	634	2119440	1.0	0.98	312	1	2205158
F178	75.6096	25.52	23.94	27.09	71	2751994	1.0	0.97	9	1	2753367
F181	75.7198	25.52	23.94	26.96	72	1748974	1.0	0.99	25	1	1758178
F182	121.1015	26.96	25.65	28.41	635	4282075	1.0	0.98	81	1	4304084
F183	100.0874	2.47	1.95	4.05	349	2981320	1.0	0.77	7	1	3007498
F184	75.7211	25.39	24.34	26.96	73	914793	1.0	0.75	100	1	932317
F185	76.0219	25.26	24.6	26.17	74	912301	1.0	0.98	127	1	952784
F186	121.9747	113.67	48.1	157.23	636	99265139	1.0	0.77	5	1	63950069
F187	121.9747	194.77	157.23	234.6	636	36189908	0.98	0.84	4	1	36788872
F188	122.0438	42.59	41.01	44.16	637	47832147	1.0	0.86	15	1	47857147
F189	78.0231	25.78	24.86	26.7	83	986170	1.0	0.99	117	1	1001177
F193	145.1011	28.67	27.36	29.19	888	2455148	1.0	0.92	305	1	2470674
F194	122.0715	0.63	0.11	1.29	640	9339839	1.0	0.99	6	1	9758782
F198	145.1086	0.5	0.11	1.03	889	1004709	1.0	0.88	30	1	1012711
F201	101.0037	42.19	40.62	43.77	353	49246959	1.0	0.93	27	1	49271959
F204	101.0602	0.5	0.24	1.03	354	5350619	1.0	0.92	234	1	5357619
F209	78.9849	43.11	41.54	44.69	95	4556398	0.96	0.73	25	1	4661603
F211	78.9946	42.46	41.28	43.11	97	980944	0.75	0.75	39	1	889836
F212	78.9954	42.59	41.14	43.38	98	1731203	1.0	0.97	33	1	1726316
F213	78.9954	44.16	43.51	45.61	98	1338829	1.0	0.89	20	1	1319368
F215	78.996	42.33	40.88	42.46	99	932486	0.78	0.86	14	1	819371
F216	78.996	43.51	42.59	44.43	99	1706419	0.89	0.71	17	1	1886787
F217	78.9966	42.06	41.28	43.24	100	1183250	1.0	0.74	98	1	1139264
F218	79.0036	41.8	41.28	42.46	101	503512	1.0	0.92	64	1	513516
F219	123.0668	0.5	0.11	1.03	647	937654	1.0	0.88	41	1	945655
F221	123.0808	27.23	25.65	28.8	648	9491133	1.0	0.98	14	1	9896830
F222	101.0714	0.63	0.24	1.95	355	20250179	1.0	0.76	17	1	21932585
F225	79.0113	41.67	41.01	42.33	111	854191	0.76	0.88	15	1	767439
F226	79.0113	43.38	42.59	44.16	111	1604667	0.88	0.9	22	1	1571305
F228	79.0129	42.33	41.93	43.64	113	2861271	1.0	0.89	34	1	2734960
F229	79.0129	44.03	43.64	45.21	113	1632138	1.0	0.95	23	1	1687013
F231	145.9856	3.39	2.86	4.97	895	26209658	0.72	0.87	9	1	27131405
F232	79.0136	41.8	41.01	42.46	114	1648544	1.0	0.93	20	1	1660548
F233	79.0136	43.11	42.46	44.3	114	1913493	1.0	0.8	21	1	1898926
F238	101.1078	0.5	0.11	1.16	356	23857581	1.0	0.95	29	1	24070605
F239	101.1078	2.47	1.95	3.78	356	38450985	1.0	0.78	34	1	38806024
F240	123.1171	26.7	25.12	28.28	651	4482207	1.0	0.95	201	1	4565438
F241	79.0152	42.33	40.75	43.9	116	5038148	0.91	0.75	26	1	5077061
F255	146.0602	43.24	41.67	44.82	898	12168594	0.81	0.79	103	1	12193594
F256	102.0667	0.76	0.24	1.29	362	11034736	1.0	0.94	38	1	11313434
F260	79.019	42.72	41.14	43.9	121	99413190	1.0	0.91	21	1	99435190
F264	79.0218	42.46	40.88	44.03	122	1548785920	0.91	0.96	13	1	15613067776
F268	146.0813	307.81	306.24	309.39	899	17603531	0.78	0.97	6	1	18846197
F270	146.0857	283.52	281.94	285.1	900	3093747	0.96	0.94	157	1	3101587
F276	146.0925	283.65	282.08	285.23	902	445860767	1.0	0.94	56	1	445885767
F280	79.0245	42.19	40.62	43.77	126	102667121	0.89	0.89	15	1	102692121
F281	146.0965	28.93	28.54	29.33	903	707555	1.0	0.85	142	1	714556
F282	146.0993	283.65	282.08	285.23	904	2754672	1.0	0.95	46	1	2838343
F284	146.1177	117.65	116.07	119.09	906	18806122	1.0	0.91	111	1	18830122
F291	79.0298	42.46	40.88	43.11	133	4044716	1.0	0.93	70	1	4023481
F292	79.0298	44.16	43.38	45.08	133	1590361	1.0	0.96	27	1	1545144
F293	79.0298	49.02	48.1	50.34	133	965199	0.72	0.83	17	1	970544
F294	102.1031	2.73	1.95	4.31	366	3089979	1.0	0.8	47	1	3106827
F295	124.0872	0.5	0.24	1.16	656	32299790	1.0	0.94	20	1	33514161
F301	79.0307	41.93	41.28	42.46	134	2087545	1.0	0.99	33	1	2203111
F302	79.0307	43.11	42.46	44.3	134	2433440	0.94	0.8	24	1	2257236
F304	79.0314	43.11	41.93	44.56	135	2713790	1.0	0.72	27	1	2731358
F305	79.0322	42.59	41.28	43.24	136	1717749	0.91	0.89	16	1	1657837
F307	125.0253	412.07	404.06	438.33	658	15386646	1.0	0.78	78	1	15637832
F308	79.0335	42.33	40.75	42.85	137	7040001	0.8	0.72	35	1	7057001
F312	102.5359	1.29	0.9	1.81	374	1295525	1.0	0.88	25	1	1303528
F318	102.9994	41.93	41.14	42.59	375	804746	1.0	0.86	106	1	875545
F325	79.0364	42.46	41.54	43.11	140	1333509	1.0	0.96	50	1	1346512
F326	79.0383	42.85	42.46	43.9	142	838881	0.75	0.83	52	1	850888
F327	103.0507	0.5	0.11	1.16	376	2972623	1.0	0.99	20	1	2981628
F328	103.0546	28.54	27.23	30.11	377	10468572	1.0	0.91	1147	1	10491572
F329	146.1733	2.21	1.95	3.65	913	19502699	1.0	0.77	79	1	19516699
F331	146.9734	2.34	1.81	3.0	914	1627199	1.0	0.97	300	1	1637203
F332	146.9734	3.92	3.0	4.57	914	842433	1.0	0.96	121	1	795362
F333	79.0474	42.98	41.41	44.43	151	3444714	1.0	0.75	30	1	3386244
F334	125.0712	0.5	0.24	1.16	659	18537910	0.83	0.93	24	1	19003466
F337	79.0579	42.98	42.46	43.64	155	1437436	0.75	0.83	46	1	1529635
F339	79.064	42.59	41.01	42.98	158	925679	1.0	0.71	70	1	941684
F340	79.064	43.9	43.38	45.08	158	902934	1.0	0.86	84	1	916940
F341	79.0715	42.59	41.8	43.24	159	1455382	1.0	0.91	83	1	1497958
F342	125.0824	0.76	0.24	1.16	661	6954252	1.0	0.91	56	1	7048511
F346	79.2037	42.85	42.06	43.11	163	795659	1.0	0.94	67	1	840756
F348	103.087	0.63	0.24	1.29	379	16024726	1.0	0.96	42	1	16392186
F349	125.0906	0.63	0.11	1.16	662	1153260	1.0	0.88	12	1	1162263
F351	146.9804	3.13	2.86	4.7	918	222729682	0.72	0.94	7	1	275881459
F352	80.0211	42.46	40.88	44.03	170	141479466	1.0	0.88	17	1	141504466
F353	146.9856	2.08	1.55	2.6	920	1042853	1.0	0.96	210	1	1051855
F354	125.0966	27.23	25.65	28.67	663	2901808	1.0	0.97	149	1	2987540
F355	103.1234	2.34	1.81	3.92	381	1231160	1.0	0.8	80	1	1258931
F356	146.9872	2.21	1.68	2.86	921	1955750	1.0	0.98	279	1	1983726
F357	80.0251	42.46	40.88	43.77	174	361550703	0.89	0.95	15	1	361907447
F358	103.5738	157.36	155.78	158.94	383	3107435	1.0	0.99	231	1	3152190
F359	103.576	157.36	155.78	158.8	384	2072807	1.0	0.99	180	1	2107690
