id_number	mz	rtime	rtime_left_base	rtime_right_base	parent_masstrack_id	peak_area	cSelectivity	goodness_fitting	snr	detection_counts	Bile_Acid_STD_HILICpos
F736	162.0875	305.45	303.87	307.02	1109	3194474	0.98	0.95	15	1	3225498
F738	155.1291	2.47	1.95	3.78	1020	1439099	1.0	0.91	189	1	1451145
F740	113.0601	27.23	25.78	28.41	519	2448409	1.0	0.94	19	1	2583437
F741	162.1027	0.5	0.24	1.03	1111	4887979	0.86	0.89	61	1	4894979
F743	162.1126	312.67	311.09	314.25	1112	29461780	0.78	0.93	6	1	30026446
F744	155.9742	1.81	0.63	2.34	1022	70618974	0.75	0.79	54	1	70632974
F747	136.0758	176.79	175.17	178.23	758	3297623	0.82	0.81	15	1	3321623
F748	136.0839	28.8	27.23	30.38	759	21828991	1.0	0.96	2436	1	21853991
F749	113.0713	0.76	0.24	1.16	520	12373829	1.0	0.92	25	1	12676803
F752	156.0292	300.46	297.83	309.78	1027	5077933	1.0	0.79	110	1	5194893
F754	156.0656	342.21	340.64	343.79	1028	2147317	0.86	0.87	43	1	2172273
F755	162.9979	273.67	272.1	275.25	1117	2982464	0.86	0.9	138	1	3005299
F757	136.087	0.5	0.11	1.16	760	12399340	1.0	0.95	30	1	12521638
F758	163.0755	26.17	25.26	27.49	1120	1296069	0.94	0.96	58	1	1329299
F759	163.0755	361.78	360.2	363.35	1120	2388291	0.84	0.9	3	1	2447597
F760	113.2904	28.41	27.23	29.98	523	16341095	1.0	0.92	1613	1	16363095
F761	113.2929	28.41	27.49	29.98	524	13485868	1.0	0.89	1395	1	13505868
F762	113.5415	28.67	27.49	30.25	525	4398624	1.0	0.9	433	1	4450425
F763	113.5434	28.67	27.49	29.98	526	2520157	1.0	0.79	283	1	2588231
F764	163.0978	0.63	0.11	1.29	1122	9397281	1.0	0.94	33	1	9427244
F767	156.1132	0.63	0.11	1.16	1033	8955096	1.0	0.98	8	1	10754351
F769	156.1132	409.97	391.85	444.11	1033	78720842	1.0	0.8	3	1	152059287
F772	114.0737	25.52	24.6	26.83	532	1082902	1.0	0.98	116	1	1118279
F776	163.1231	47.58	46.0	49.15	1125	2952018	0.97	0.93	3	1	5060617
F778	156.1496	2.21	1.95	3.65	1036	12877996	1.0	0.75	55	1	12891996
F787	163.1483	27.23	26.04	28.14	1127	2948859	1.0	0.99	324	1	2965869
F788	163.5852	25.78	25.26	26.7	1128	832912	1.0	0.98	121	1	857972
F790	137.0711	223.31	221.73	224.88	771	26403586	1.0	0.93	30	1	26778882
F792	137.0745	42.19	41.01	43.77	772	2026681	1.0	0.71	49	1	2048689
F794	157.0059	1.42	1.03	1.81	1041	23884553	1.0	0.96	7867	1	23891553
F795	157.0353	42.46	40.88	44.03	1042	237020072	1.0	0.92	137	1	237045072
F797	137.0824	0.76	0.37	1.29	773	1875599	1.0	0.93	14	1	2012271
F798	157.0498	26.96	25.78	27.88	1043	1184970	1.0	0.98	119	1	1213417
F799	164.0671	411.41	402.48	474.7	1132	47463797	1.0	0.8	57	1	48017068
F804	137.0963	27.23	25.65	28.41	775	2615003	1.0	0.98	72	1	2627335
F806	157.0973	0.5	0.24	1.16	1046	7512305	1.0	0.92	71	1	7544169
F807	164.093	0.76	0.24	1.29	1136	849500	1.0	0.88	171	1	858501
F808	114.1029	0.76	0.11	1.03	537	4566396	1.0	0.91	53	1	4574396
F809	114.1029	2.21	2.08	3.78	537	8634777	1.0	0.71	67	1	8648777
F810	164.1183	0.5	0.24	1.16	1138	7717920	1.0	0.77	261	1	7725920
F811	114.111	0.5	0.11	1.03	538	2141324	1.0	0.96	429	1	2149327
F812	164.9207	130.07	105.62	189.74	1140	31547759	0.87	0.87	26	1	32178806
F817	115.0545	28.67	27.36	30.25	542	10321528	1.0	0.94	1268	1	10344528
F819	115.066	29.06	27.62	30.64	543	6046975	1.0	0.97	516	1	6070612
F820	157.1531	2.47	1.95	3.26	1050	739948	1.0	0.95	122	1	764827
F822	115.0682	29.46	28.41	31.03	544	4261113	1.0	0.96	433	1	4260716
F824	137.9832	362.17	360.6	363.75	777	3328552	1.0	0.98	187	1	3378799
F826	137.9985	1.42	0.76	2.34	779	23305662	1.0	0.94	5429	1	23318662
F830	115.0757	27.36	25.78	28.28	545	2280184	1.0	0.9	19	1	2313810
F831	138.0551	2.6	1.81	4.18	781	2432252	0.72	0.78	6	1	2687955
F832	138.0551	249.31	247.73	250.88	781	7299398	0.74	0.97	7	1	7541345
F833	158.0348	42.85	41.28	44.16	1055	3318774	1.0	0.86	230	1	3304344
F834	158.0386	42.59	41.01	44.16	1056	9293615	1.0	0.91	487	1	9354306
F839	165.0447	410.63	409.58	411.94	1146	2224400	1.0	0.84	35	1	2309708
F843	165.0477	416.53	415.88	417.06	1147	1589696	0.91	0.75	26	1	1457202
F847	165.0593	412.33	411.68	413.91	1150	2453858	0.8	0.91	23	1	2421316
F851	158.0925	0.5	0.24	1.03	1059	3848963	1.0	0.89	69	1	3855963
F854	115.0869	0.63	0.11	1.29	546	21918477	1.0	0.97	31	1	22918398
F855	158.0964	1.29	0.5	2.21	1060	4028657	0.92	0.94	5	1	4201447
F862	165.0773	0.5	0.11	1.03	1155	1064345	1.0	0.88	34	1	1072348
F866	116.0458	333.68	267.76	361.39	549	38353931	0.93	0.83	4	1	39063608
F867	138.0663	0.63	0.11	1.16	783	3833926	1.0	1.0	10	1	4190110
F868	138.0745	223.44	221.86	225.02	784	1840775	1.0	0.96	103	1	1880248
F869	158.1288	0.5	0.24	1.16	1062	1962312	1.0	0.85	331	1	2208100
F870	158.1288	2.6	1.95	4.18	1062	1638206	0.99	0.79	152	1	1700338
F871	158.1288	395.92	372.15	418.64	1062	23393049	1.0	0.88	13	1	23736975
F873	165.1136	0.63	0.24	1.16	1158	7105558	1.0	0.84	63	1	7113558
F876	158.1541	1.03	0.37	1.68	1064	42338242	1.0	0.9	243	1	42357144
F879	116.0822	0.76	0.24	1.03	551	7556442	1.0	0.86	28	1	7832902
F880	116.091	0.5	0.11	1.16	552	29594176	1.0	0.94	8108	1	29603176
F882	116.0945	0.5	0.11	1.03	553	22632586	1.0	0.94	6434	1	22640586
F883	138.1027	0.63	0.11	1.16	786	25106189	1.0	0.98	102	1	25299150
F884	165.8617	25.52	24.07	27.09	1160	3352427	1.0	0.94	9	1	3383640
F885	138.9954	1.29	0.11	2.73	791	454618319	1.0	0.98	78432	1	809987391
F886	165.8656	25.52	23.94	27.09	1161	2446284	1.0	0.97	10	1	2450591
F890	159.031	42.33	40.75	43.77	1069	19795813	1.0	0.91	266	1	19819813
F891	116.3427	0.37	0.11	0.9	557	8354900	1.0	0.94	2389	1	8361900
F892	116.3452	0.5	0.11	1.03	558	7300411	1.0	0.92	1944	1	7308411
F893	116.9775	42.46	40.88	43.51	559	6702197	1.0	0.97	21	1	6785209
F894	159.066	25.91	25.12	27.23	1071	1222330	1.0	0.97	157	1	1230669
F896	139.0502	234.47	232.89	235.91	793	6339252	0.88	0.85	6	1	6674871
F911	117.0701	28.67	27.09	30.25	562	16431200	1.0	0.9	1082	1	16456200
F912	166.1125	25.65	24.21	27.09	1175	1435665	1.0	0.99	54	1	1458675
F915	139.0867	0.63	0.24	1.16	797	10557962	0.8	0.92	38	1	10732157
F916	166.1341	0.5	0.11	1.03	1178	8843758	1.0	0.93	86	1	8851758
F917	139.0979	0.76	0.24	1.16	799	5805074	1.0	0.96	112	1	5813074
F918	117.1026	0.5	0.11	1.42	564	32042892	1.0	0.96	62	1	32485972
F921	167.0129	1.42	0.9	2.08	1180	8897903	1.0	0.92	119	1	8907903
F922	139.1117	27.23	25.65	28.41	800	2058970	1.0	0.96	65	1	2080982
F932	179.0139	1.29	0.9	1.81	1329	909870	1.0	0.88	30	1	917873
F933	179.0173	42.06	40.75	42.33	1330	1068753	1.0	0.84	155	1	1179225
F935	167.0856	40.62	39.04	42.06	1184	5499544	1.0	1.0	467	1	5577639
F936	167.0929	0.5	0.24	1.16	1185	5306545	1.0	0.87	91	1	5314545
F939	118.0655	28.8	27.23	30.25	570	41752937	1.0	0.96	150	1	42434499
F941	167.1068	27.23	25.91	28.41	1186	3244537	1.0	0.98	123	1	3357954
F945	140.0343	2.73	2.08	4.31	813	892916	1.0	0.75	88	1	938858
F950	179.0929	0.5	0.11	1.03	1335	1555784	1.0	0.88	19	1	1563787
F951	140.0569	249.83	247.21	253.25	816	2249550	0.95	0.91	8	1	2304542
F954	179.1068	27.23	25.78	28.14	1336	1163274	1.0	0.93	106	1	1182281
F957	194.9754	2.86	2.21	4.31	1584	1365288	1.0	0.88	148	1	1348620
F958	179.1295	0.63	0.37	1.03	1339	4964312	1.0	0.95	1701	1	4970312
F959	195.0057	1.81	0.76	2.34	1585	44725304	1.0	0.79	34	1	44738304
F964	140.0819	0.63	0.24	1.16	819	11563210	1.0	0.92	25	1	11884793
F965	168.0631	227.12	190.44	234.08	1193	12408406	1.0	0.76	23	1	12733680
F968	168.0658	269.73	268.16	271.31	1194	4716148	0.86	0.78	34	1	4743924
F972	168.0769	0.5	0.11	1.03	1195	1764754	1.0	0.96	25	1	1772756
F976	140.1183	0.63	0.24	1.16	822	11072773	1.0	0.97	190	1	11080773
F980	140.9617	1.42	0.37	2.08	825	17877609	0.8	0.75	3520	1	17891609
F981	140.9617	3.0	2.34	3.39	825	652900	0.87	0.76	126	1	661900
F982	168.1133	0.76	0.11	1.16	1197	11595919	1.0	0.75	39	1	12012022
F983	195.1382	26.96	25.39	28.14	1593	4127869	1.0	1.0	285	1	4130215
F984	180.1132	0.5	0.11	1.03	1348	10535192	1.0	0.82	327	1	10543192
F986	195.1608	2.47	1.95	3.78	1595	1911572	1.0	0.9	104	1	1907207
F988	195.9902	370.05	368.74	371.63	1598	1573411	1.0	0.79	121	1	1602187
F989	168.1496	0.5	0.11	0.76	1200	3587264	0.75	0.91	63	1	3593264
F992	195.9934	369.66	368.08	371.23	1599	6499204	0.73	0.92	90	1	6540795
F998	180.8945	128.76	105.19	192.67	1353	32651446	1.0	0.82	76	1	33313717
F1001	196.0001	368.08	367.03	368.34	1601	1756549	0.76	0.87	7	1	1905823
F1002	196.0001	369.66	369.13	370.18	1601	2157549	1.0	0.97	12	1	2166552
F1003	180.9945	1.03	0.5	1.55	1358	1526803	1.0	0.96	59	1	1535807
F1005	196.004	369.79	368.21	371.36	1602	801375054	0.74	0.86	7	1	892889204
F1006	169.1086	0.5	0.11	0.9	1206	3699890	1.0	0.95	182	1	3706890
F1007	196.0091	1.95	1.42	2.6	1603	1194383	0.71	0.93	240	1	1204385
F1008	196.0125	369.13	368.08	369.53	1604	1543303	0.74	0.87	168	1	1589766
F1009	196.0125	371.23	370.58	371.89	1604	1045813	0.77	0.85	146	1	976071
F1010	196.0125	372.28	371.89	373.2	1604	757778	0.79	1.0	117	1	778847
F1019	211.0005	294.55	293.63	294.81	1830	852157	0.98	0.98	127	1	945436
F1020	211.0005	296.65	295.07	298.23	1830	4548552	1.0	0.75	272	1	4581262
F1021	211.0005	298.88	298.36	300.46	1830	1994293	1.0	0.97	183	1	2005526
F1022	169.1449	0.63	0.11	1.16	1209	1522175	1.0	0.88	306	1	1531179
F1023	169.1449	2.47	1.95	3.78	1209	1457153	1.0	0.77	187	1	1478283
F1027	196.1194	0.5	0.11	1.03	1610	1244994	1.0	0.88	250	1	1252995
F1039	181.026	1.29	0.76	1.81	1366	3242557	1.0	0.99	650	1	3251560
F1040	181.026	32.61	31.43	34.18	1366	8859739	1.0	0.99	879	1	8889634
F1041	211.0079	295.86	294.94	296.13	1832	1034469	0.77	0.89	16	1	1127709
F1045	211.0603	234.47	229.09	241.04	1835	5587035	0.72	0.91	4	1	5674657
F1046	211.0691	276.17	274.59	277.35	1836	2747809	0.78	0.96	10	1	2783034
F1047	211.0691	278.14	277.35	279.71	1836	2817148	0.78	0.76	10	1	2882283
F1054	196.1446	0.37	0.11	1.29	1613	7625319	1.0	0.99	20	1	8198462
F1060	196.1557	447.52	425.46	464.33	1614	17218773	1.0	0.91	30	1	17526369
F1064	211.1192	0.5	0.11	1.16	1839	2779519	1.0	0.98	557	1	2788520
F1066	170.0925	0.76	0.24	1.16	1215	3896700	1.0	0.82	43	1	3904700
F1068	211.133	27.23	25.91	28.28	1840	1760060	1.0	0.94	144	1	1791497
F1069	196.9903	3.52	2.34	5.1	1618	4632305	1.0	0.85	117	1	4663589
F1070	196.9927	3.26	2.34	4.7	1619	3331474	1.0	0.9	259	1	3321607
F1075	181.1084	0.63	0.24	1.03	1375	4707237	1.0	0.8	49	1	4714237
F1083	196.9969	313.85	312.28	315.3	1620	19613884	0.88	0.86	50	1	19637884
F1086	170.1177	25.52	24.21	27.09	1218	2690903	0.78	0.88	4	1	2817729
F1087	181.1224	27.09	25.91	28.14	1376	2296575	1.0	0.98	218	1	2337787
F1088	211.1554	0.5	0.11	1.03	1842	1121849	1.0	0.87	110	1	1129850
F1090	211.1695	27.23	26.17	28.14	1843	1589724	1.0	0.99	168	1	1605731
F1091	170.1224	25.65	24.21	27.23	1219	1472112	1.0	0.99	21	1	1514393
F1092	197.001	1.55	0.63	2.6	1621	585775648	1.0	0.98	18	1	798967629
F1093	197.001	3.26	2.6	4.83	1621	390260603	0.8	0.9	8	1	580313292
F1105	197.1034	0.5	0.11	1.03	1624	1480455	1.0	0.87	130	1	1488455
F1107	211.9966	297.96	292.32	301.51	1849	4252888	1.0	0.94	26	1	4313164
F1108	181.9884	1.42	0.5	2.34	1382	234352083	1.0	0.92	18441	1	234367083
F1109	181.9884	2.6	2.34	4.18	1382	25461132	0.88	0.74	1115	1	25476132
F1116	182.0223	3.0	2.21	4.44	1386	1874674	1.0	0.8	168	1	1923064
F1117	212.0685	32.74	31.56	34.18	1855	2255199	1.0	0.97	228	1	2284426
F1121	171.1171	28.14	27.23	28.67	1231	625998	0.71	0.85	15	1	643302
F1130	171.1322	170.71	86.9	247.21	1234	86003899	1.0	0.85	7	1	87231681
F1131	212.1493	47.84	46.4	49.42	1860	1827938	1.0	0.98	62	1	1834964
F1136	198.0046	1.81	0.37	2.34	1633	40412318	1.0	0.74	31	1	40428318
F1138	182.0966	55.75	54.18	57.33	1393	3022805	0.83	0.95	192	1	3096363
F1141	212.9862	3.26	2.08	4.83	1864	5692957	0.79	0.72	10	1	5713726
F1143	198.0528	32.61	31.3	34.18	1636	8091986	1.0	0.99	765	1	8135119
F1146	213.0164	296.65	291.66	302.95	1866	12877338	0.88	0.88	20	1	12964338
F1149	171.9595	3.13	2.21	4.44	1239	2350727	0.83	0.81	23	1	2349474
F1152	172.0718	289.69	288.12	291.14	1241	3043730	0.81	0.94	7	1	3080555
F1153	172.0718	294.16	292.58	295.73	1241	3135899	0.8	0.85	6	1	3195886
F1154	198.1127	334.6	328.69	339.46	1640	7918163	1.0	0.95	44	1	8004283
F1155	213.1485	27.09	26.17	28.14	1871	1136058	1.0	0.98	132	1	1152064
F1156	182.129	0.63	0.24	1.16	1398	10207234	1.0	0.98	55	1	10441042
F1157	172.0757	2.47	1.95	7.36	1242	1837995	1.0	0.75	45	1	1880008
F1169	198.1238	0.5	0.11	1.03	1641	5864446	1.0	0.84	57	1	5945712
F1173	182.1629	376.75	376.09	377.93	1401	6420892	0.81	0.76	6	1	6404508
F1181	172.1082	0.76	0.24	1.03	1245	3890982	1.0	0.85	90	1	3897982
F1191	172.1526	3.65	2.34	4.57	1249	11187301	0.71	0.91	3	1	13067376
F1192	172.1526	4.83	4.57	6.18	1249	7594544	0.71	0.78	3	1	8850001
F1203	182.9852	1.29	0.11	2.73	1406	472029015	1.0	0.98	43785	1	4858330223
F1204	172.1808	2.47	1.81	3.78	1251	2268905	1.0	0.86	80	1	2291254
F1207	172.9566	1.29	0.37	2.21	1253	6334567	0.89	0.94	22	1	5959216
F1215	214.0227	313.2	311.62	314.64	1881	4191260	0.72	0.97	104	1	4212209
F1219	214.0975	2.6	2.08	3.0	1883	899131	0.8	0.96	234	1	907131
F1238	183.0626	273.8	272.23	275.38	1412	9186442	1.0	0.98	24	1	9269495
F1239	214.1188	0.63	0.24	1.03	1885	1415595	0.73	0.84	322	1	1611942
F1240	214.1188	342.08	340.51	343.66	1885	8349790	0.79	0.98	93	1	8381997
F1244	173.0962	28.8	27.36	30.11	1260	2319101	1.0	0.89	243	1	2341110
F1245	198.997	3.52	2.86	4.57	1656	4125575	0.86	0.81	44	1	4570708
F1246	198.997	6.57	6.05	7.23	1656	1263575	0.75	0.92	17	1	1273577
F1247	198.997	8.15	7.62	8.81	1656	2037864	0.79	0.94	20	1	2194742
F1251	198.997	14.85	14.32	15.54	1656	1902070	0.77	0.96	11	1	1779052
F1255	198.997	21.58	20.92	22.24	1656	1661228	0.74	0.94	12	1	1672233
F1268	198.997	253.12	251.54	254.69	1656	4806036	0.74	0.93	16	1	4848017
F1271	198.997	344.45	343.92	345.63	1656	2619141	0.74	0.81	12	1	2572101
F1272	198.997	349.57	349.04	350.49	1656	2583162	0.8	0.84	13	1	2713812
F1273	198.997	352.98	352.46	353.51	1656	1136448	0.74	0.88	6	1	1145451
F1274	198.997	356.13	355.74	356.66	1656	1090134	0.74	0.88	4	1	1098136
F1278	198.997	367.69	367.29	368.34	1656	2023740	0.8	0.87	5	1	2314864
F1279	198.997	369.66	369.26	370.84	1656	1895533	0.79	0.81	4	1	1908538
F1284	183.1241	0.5	0.11	1.16	1416	2988392	1.0	0.99	67	1	2997395
F1291	173.1326	27.23	26.17	28.28	1264	4013390	1.0	0.99	448	1	4030395
F1296	183.1688	2.47	1.95	4.05	1419	1172288	1.0	0.95	170	1	1198419
F1300	215.0114	3.13	2.21	4.7	1895	29292296	0.85	0.72	20	1	29312296
F1311	183.9652	361.39	354.82	367.95	1422	14973973	1.0	0.96	29	1	15070302
F1317	183.9932	2.21	1.81	3.13	1424	902325	0.86	0.85	24	1	929822
F1327	215.9846	4.18	3.78	4.83	1907	1213903	0.78	0.9	200	1	1277722
F1336	184.0719	282.21	269.6	290.74	1431	11238295	1.0	0.83	23	1	11399161
F1341	174.2047	2.21	1.81	3.78	1281	17483376	0.75	0.75	181	1	17499376
F1342	216.1236	0.5	0.11	1.03	1915	1983923	1.0	0.95	75	1	1991925
F1343	174.9534	3.39	2.21	4.83	1282	1307166	1.0	0.82	106	1	1331198
F1344	184.1082	0.37	0.24	1.16	1436	5985017	1.0	0.72	47	1	6033517
F1347	216.1346	217.4	127.18	243.27	1916	40359831	0.91	0.72	27	1	41249626
F1348	174.9916	297.96	292.45	302.56	1284	4604990	1.0	0.96	39	1	4688574
F1349	216.1597	27.09	26.31	27.88	1917	1144001	1.0	0.99	152	1	1157008
F1350	216.2436	2.47	1.95	4.05	1918	2557043	1.0	0.79	53	1	2578254
F1356	217.0116	3.39	2.34	4.97	1920	3001509	0.81	0.73	7	1	3048109
F1357	199.9755	0.5	0.11	1.16	1672	7860889	0.88	0.94	54	1	7869889
F1359	175.0756	26.57	25.91	27.49	1288	891270	1.0	0.99	123	1	904277
F1364	199.9908	297.57	296.39	299.15	1675	2958394	0.72	0.88	207	1	2867955
F1365	217.0934	313.72	312.14	315.3	1923	4358015	0.72	0.93	14	1	4418649
F1366	175.1079	311.09	309.52	312.67	1291	17251140	0.96	0.97	11	1	17251746
F1367	175.1119	26.44	25.52	28.01	1292	1748353	1.0	0.89	186	1	1780858
F1370	199.9992	296.65	291.0	309.91	1676	1411672501	1.0	0.96	11	1	2039887573
F1371	184.9854	1.42	0.11	2.21	1447	45291595	1.0	0.84	338	1	45308595
F1373	217.1048	47.45	45.87	49.02	1925	5178629	1.0	0.98	60	1	5249550
F1377	175.1191	380.42	379.9	381.08	1293	4904246	0.74	0.93	4	1	4902220
F1378	175.1191	382.92	382.0	383.71	1293	6711923	0.74	0.83	4	1	6802203
F1387	200.0104	295.6	294.16	296.26	1678	1657198	1.0	0.98	156	1	1718969
F1388	200.0104	297.31	296.26	298.62	1678	2378446	1.0	0.76	177	1	2292712
F1389	200.0104	299.28	298.62	300.85	1678	1099209	1.0	0.72	130	1	1129578
F1392	217.1074	361.25	359.28	365.06	1926	5286524	0.92	0.92	17	1	5322964
F1393	175.1443	2.21	1.68	3.78	1295	2587686	1.0	0.74	292	1	2599469
F1396	217.1296	299.8	298.23	301.38	1928	26212454	1.0	0.89	236	1	26237454
F1397	217.1408	264.05	262.47	265.66	1929	2200276	0.77	0.93	10	1	2253456
F1398	217.1408	274.85	273.28	276.43	1929	2743586	0.78	0.71	35	1	2771031
F1400	185.0462	411.28	403.8	442.4	1451	18569827	1.0	0.8	70	1	18865319
F1401	217.1452	0.63	0.11	1.03	1930	2373317	1.0	0.95	490	1	2452685
F1402	217.1452	2.47	1.95	3.13	1930	953082	1.0	0.99	183	1	994185
F1403	185.0558	319.1	313.72	328.69	1452	4452864	1.0	0.82	112	1	4573286
F1411	200.0737	1.03	0.5	1.55	1682	1380435	1.0	0.96	170	1	1389439
F1419	218.1137	299.67	298.09	301.25	1942	3429695	0.73	0.87	3	1	3467421
F1420	218.1137	303.35	301.77	304.92	1942	5374337	0.75	0.97	4	1	5374991
F1421	218.1137	326.19	324.62	327.77	1942	5761025	0.76	0.94	5	1	5808338
F1422	218.1137	331.71	330.13	333.29	1942	14759092	1.0	0.94	18	1	14733518
F1423	218.125	317.0	315.43	318.58	1943	2813196	0.95	0.97	172	1	2883639
F1425	218.1289	0.5	0.11	1.03	1944	1205375	1.0	0.88	242	1	1213378
F1426	200.176	2.34	1.81	3.65	1687	1023648	1.0	0.91	90	1	1038655
F1429	176.0929	335.78	334.2	337.36	1302	5337251	0.82	0.98	3	1	5424377
F1430	218.133	299.54	297.96	301.11	1945	2119572	1.0	0.87	123	1	2155891
F1432	176.1071	28.8	27.23	30.25	1304	20981688	1.0	0.94	2204	1	21005688
F1434	218.1395	0.63	0.11	1.29	1946	2452884	0.97	0.97	375	1	2462885
F1435	218.1395	2.47	1.95	3.52	1946	898630	0.77	0.95	111	1	888872
F1436	218.1395	233.29	231.71	234.86	1946	12203968	1.0	0.99	450	1	12322007
F1437	218.1395	302.82	301.25	304.0	1946	1681238	0.72	0.96	19	1	1716596
F1444	200.2204	2.34	1.81	3.52	1691	1473271	1.0	0.96	202	1	1460999
F1446	218.598	29.33	28.93	29.85	1949	606205	1.0	0.88	80	1	614208
F1457	177.0136	253.25	251.67	254.82	1309	7009956	1.0	0.95	95	1	7088246
F1476	177.1135	0.5	0.11	1.03	1316	9300337	1.0	0.93	279	1	9308337
F1477	186.1125	30.11	29.59	31.03	1471	913299	1.0	0.98	148	1	925304
F1485	220.119	0.63	0.11	0.9	1971	1313727	1.0	0.74	295	1	1477625
F1486	220.1446	0.5	0.24	1.03	1972	4001673	1.0	0.95	1118	1	4008673
F1487	220.1556	2.47	1.95	4.05	1973	1329278	1.0	0.73	184	1	1359597
F1491	186.1967	2.47	1.95	3.78	1476	9693604	1.0	0.73	38	1	9708604
F1494	201.1135	0.5	0.11	1.03	1704	1777588	1.0	0.96	357	1	1785592
F1495	178.1082	0.76	0.24	1.29	1323	1897088	1.0	0.96	18	1	1906090
F1497	220.181	218.45	107.72	250.75	1975	82658241	1.0	0.76	50	1	83750023
F1500	201.1234	0.37	0.11	0.9	1706	1775668	1.0	0.95	372	1	1862371
F1501	201.1639	157.36	155.78	158.94	1709	3496779	1.0	0.99	259	1	3561117
F1504	221.1133	303.22	288.38	317.66	1979	16143296	1.0	0.96	59	1	16371883
F1516	221.1762	2.47	1.95	3.65	1984	696062	1.0	0.92	103	1	710069
F1517	187.098	0.5	0.11	1.16	1485	2511843	1.0	0.98	124	1	2520846
F1533	221.6297	374.52	373.6	376.09	1986	1344922	1.0	0.93	107	1	1390235
F1536	187.1078	0.63	0.11	1.16	1486	2038934	1.0	0.95	35	1	2047937
F1537	187.1078	303.87	302.3	304.66	1486	3552914	0.76	0.74	3	1	3610532
F1540	222.0527	32.61	31.43	34.18	1989	5804217	1.0	0.99	589	1	5846534
F1544	202.0711	157.89	138.16	173.73	1716	15328745	1.0	0.92	12	1	15598849
F1545	187.1442	0.5	0.11	1.16	1488	3543830	1.0	0.97	74	1	3576770
F1548	222.0618	37.99	36.55	39.57	1991	4822062	1.0	0.98	412	1	4830536
F1554	188.0926	313.72	312.14	315.3	1496	5627378	0.83	0.91	7	1	5662228
F1555	222.9648	3.0	2.47	4.57	1999	1238639	1.0	0.72	118	1	1263049
F1558	202.1803	85.07	81.78	88.87	1722	4105892	1.0	0.96	130	1	4174063
F1562	202.236	2.21	2.08	3.65	1724	4530831	0.71	0.88	733	1	4543831
F1563	188.2124	2.47	1.95	3.65	1500	1331632	1.0	0.81	105	1	1344947
F1566	188.9787	2.86	2.21	4.44	1501	969294	1.0	0.88	104	1	987301
F1567	223.0638	26.04	24.47	27.62	2004	20615121	1.0	0.98	1828	1	20640121
F1568	223.0756	27.49	26.44	28.14	2005	1118270	1.0	0.98	156	1	1132278
F1569	223.0827	305.71	304.14	307.29	2006	2277841	1.0	0.91	37	1	2318975
F1570	223.1694	26.7	26.17	28.28	2011	1426330	1.0	0.84	149	1	1443336
F1571	189.1235	310.57	308.99	312.14	1507	17598243	1.0	0.91	18	1	17623243
F1575	223.9617	3.26	2.34	4.83	2015	2646216	1.0	0.73	199	1	2647311
F1579	189.1963	2.34	1.81	3.92	1510	5428489	1.0	0.87	124	1	5444177
F1582	224.0117	1.42	0.11	2.34	2018	364031715	1.0	0.88	76118	1	364049715
F1583	189.9703	104.93	45.87	178.36	1511	55086332	0.9	0.89	3	1	56105799
F1584	190.0499	0.63	0.11	1.29	1512	54277833	1.0	0.94	13691	1	54287833
F1585	190.0499	2.47	2.08	2.86	1512	488734	1.0	0.73	143	1	495734
F1586	224.0627	26.04	25.12	27.49	2023	2274297	1.0	0.97	263	1	2293306
F1587	190.0716	26.17	24.99	27.49	1513	2596780	1.0	1.0	281	1	2626943
F1588	203.0064	416.93	402.75	441.88	1729	18212534	1.0	0.82	11	1	18521352
F1589	203.008	32.61	31.43	34.18	1730	2710121	1.0	0.99	271	1	2754063
F1592	203.1028	329.74	328.16	331.32	1731	13802716	0.71	0.89	12	1	13867710
F1594	203.114	300.2	298.75	301.77	1732	20002884	1.0	0.83	259	1	20026884
F1595	203.1293	0.63	0.11	1.16	1733	3091538	1.0	0.97	620	1	3100542
F1599	190.1077	311.09	309.52	312.67	1518	9868783	0.83	0.95	5	1	9912421
F1602	190.9793	2.86	1.95	4.44	1522	4588347	0.83	0.79	283	1	4716747
F1604	191.0294	277.61	276.04	279.19	1524	3054607	0.92	0.98	156	1	3089465
F1607	228.196	27.23	26.04	28.41	2093	20755847	1.0	0.96	2105	1	20774847
F1608	228.196	28.54	28.41	30.11	2093	5661207	1.0	0.79	714	1	5675207
F1610	224.1506	2.47	1.95	3.78	2030	851296	1.0	0.93	121	1	845232
F1612	191.0928	0.5	0.11	1.16	1526	2999780	1.0	0.99	91	1	3008781
F1615	191.1291	0.76	0.24	1.16	1529	7443520	1.0	0.88	2112	1	7451520
F1616	191.1291	2.47	2.08	2.86	1529	569147	0.92	0.73	146	1	576147
F1617	191.1433	27.23	26.04	28.41	1530	4172134	1.0	0.99	416	1	4191143
F1633	225.0608	26.17	25.12	27.23	2040	1469432	1.0	0.99	168	1	1486441
F1634	192.0869	362.7	359.94	364.67	1535	2289062	1.0	0.86	100	1	2339346
F1636	225.1112	26.44	25.91	27.62	2042	813470	1.0	0.94	112	1	827475
F1651	192.1246	0.63	0.11	1.29	1539	985342	1.0	0.74	199	1	995346
F1652	192.1246	2.47	1.95	3.78	1539	981045	1.0	0.87	136	1	996050
F1653	229.0422	297.57	295.99	299.15	2098	4022898	0.74	0.82	36	1	4080683
F1655	204.1233	274.59	273.02	276.17	1746	14276510	0.79	0.9	5	1	14297672
