id_number	mz	rtime	empCpd	neutral_formula	ion_relation	rtime_left_base	rtime_right_base	parent_masstrack_id	peak_area	cSelectivity	goodness_fitting	snr	detection_counts	214
F7119	262.9808	827.64	7310	C10H8O3S2	singleton	823.89	831.43	4167	4812400	0.76	0.95	9	1	4852306
F7120	311.0653	206.66	_singleton_7311	C19H15ClS	singleton	202.75	210.64	5487	8304602	1.0	0.99	156	1	8331507
F7121	311.0653	225.46	_singleton_7312	C19H15ClS	singleton	221.85	229.38	5487	2124449	1.0	1.0	223	1	2154175
F7122	311.0653	288.94	7313	C19H15ClS	singleton	286.38	292.46	5487	1789401	1.0	0.98	199	1	1807470
F7123	285.2782	821.38	7314	C18H36O2	singleton	817.62	825.14	4816	8281929	0.78	0.86	120	1	8336682
F7124	262.9891	157.91	_singleton_7315	C7H4F5O3P	singleton	153.76	162.04	4169	4487712	0.96	0.93	258	1	4536583
F7125	262.9891	287.03	7316	C7H4F5O3P	singleton	282.98	288.94	4169	1767036	0.87	0.97	148	1	1802893
F7126	311.0794	480.21	kp710_310.0723		M0,M+H+	476.37	484.03	5488	52296078	1.0	0.94	502	1	52321078
F7127	311.102	514.87	7317	C13H21O5P	singleton	512.26	518.45	5489	1590927	1.0	0.98	111	1	1614048
F7129	311.109	480.53	kp2546_895.3352		M0,HCl, 3x charged	478.01	484.36	5490	3428535	1.0	0.93	345	1	3473903
F7132	311.123	60.02	kp711_310.1159		M0,M+H+	56.2	63.47	5493	18820458	1.0	0.99	116	1	18844458
F7133	311.123	89.68	7318	C12H17N5O5	singleton	86.3	93.75	5493	3244532	0.9	0.89	36	1	3267532
F7134	285.6569	675.09	kp2245_569.3026		13C/12C, 2x charged,M+H+, 2x charged	673.85	678.22	4819	10178350	0.75	0.79	1232	1	10193350
F7135	263.052	389.99	7319	C9H14N2O3S2	singleton	386.65	393.35	4171	1744892	1.0	0.93	32	1	1777726
F7138	263.0556	492.95	7320	C13H8O5	singleton	489.34	496.9	4172	5182827	1.0	0.93	56	1	5224298
F7141	311.1478	460.1	7322	C12H16N6O3	singleton	457.46	463.75	5497	2306832	1.0	0.99	69	1	2322062
F7142	263.0694	479.59	7323	C12H8ClN3O	singleton	477.36	483.38	4175	4017760	1.0	0.89	379	1	4056125
F7144	263.0738	479.9	7325	C8H16O8	singleton	477.69	483.7	4176	13386759	1.0	0.94	1340	1	13406759
F7146	311.1509	703.69	kp2041_310.1437		M0,M+H+	700.22	707.46	5498	4122900	1.0	0.83	277	1	4161862
